rule_id,geography_code,ses_category,primary_ses_definition,sensitivity_ses_definition,primary_edge_count,sensitivity_edge_count,edge_jaccard,density_adjusted_jaccard_z,density_null_expected_jaccard
phi_012,21,lower,education_binary,income_binary,26,22,0.8461538461538461,7.413561888506202,0.363286063220356
phi_012,22,higher,education_binary,income_binary,19,15,0.6190476190476191,5.421315899084035,0.23296826962336512
phi_012,22,lower,education_binary,income_binary,21,18,0.7727272727272727,7.073368745940755,0.2782862942605117
phi_012,23,higher,education_binary,income_binary,15,15,0.6666666666666666,6.2666499443312125,0.204431785332132
phi_012,23,lower,education_binary,income_binary,25,20,0.8,7.077422760098889,0.331135427362311
phi_012,24,higher,education_binary,income_binary,12,11,0.7692307692307693,8.155611595673506,0.15102946527477026
phi_012,24,lower,education_binary,income_binary,16,18,0.7894736842105263,7.675025492340552,0.23602674338785634
phi_012,25,higher,education_binary,income_binary,12,12,0.6,5.836316118901202,0.1586497577797063
phi_012,25,lower,education_binary,income_binary,21,22,0.7916666666666666,6.914197136889592,0.3171830076395714
phi_012,26,higher,education_binary,income_binary,17,13,0.6666666666666666,6.4483838949221255,0.2000332163731368
phi_012,26,lower,education_binary,income_binary,20,19,0.8571428571428571,8.193176172384874,0.28018940175726414
phi_012,27,higher,education_binary,income_binary,14,10,0.6,6.057422940514908,0.15352549697836396
phi_012,27,lower,education_binary,income_binary,19,19,0.7272727272727273,6.428755039238674,0.2715075554311133
phi_012,29,higher,education_binary,income_binary,18,11,0.6111111111111112,6.147191649116326,0.1828929350669599
phi_012,29,lower,education_binary,income_binary,20,19,0.8571428571428571,8.193176172384874,0.28018940175726414
phi_012,30,higher,education_binary,income_binary,13,8,0.4,3.7283023929829864,0.12822976670002575
phi_012,30,lower,education_binary,income_binary,26,18,0.6923076923076923,5.884150271001043,0.3126684355807208
phi_012,31,higher,education_binary,income_binary,16,14,0.7647058823529411,7.647112405398302,0.20332896553508914
