graph_id,year,geography_code,geography,ses_category,n_unweighted,weighted_population_estimate,kish_effective_n,node_count,edge_count,density,component_count,isolate_count,mean_degree,maximum_degree,transitivity,population_graph_id,ses_definition,rule_id
2024_08_education_binary_higher__phi_012,2024,8,Colorado,higher,8211,3308692.8095656955,6048.286811060391,10,16,0.35555555555555557,1,0,3.2,6,0.5,2024_08_education_binary_higher,education_binary,phi_012
2024_08_education_binary_lower__adjusted_fdr,2024,8,Colorado,lower,2617,1407667.44185125,1957.9174540389397,10,34,0.7555555555555555,1,0,6.8,9,0.8142857142857143,2024_08_education_binary_lower,education_binary,adjusted_fdr
2024_08_education_binary_lower__adjusted_stable,2024,8,Colorado,lower,2617,1407667.44185125,1957.9174540389397,10,34,0.7555555555555555,1,0,6.8,9,0.8142857142857143,2024_08_education_binary_lower,education_binary,adjusted_stable
2024_08_education_binary_lower__phi_008,2024,8,Colorado,lower,2617,1407667.44185125,1957.9174540389397,10,31,0.6888888888888889,1,0,6.2,9,0.7752808988764045,2024_08_education_binary_lower,education_binary,phi_008
2024_08_education_binary_lower__phi_012,2024,8,Colorado,lower,2617,1407667.44185125,1957.9174540389397,10,22,0.4888888888888889,1,0,4.4,9,0.574468085106383,2024_08_education_binary_lower,education_binary,phi_012
2024_08_income_binary_higher__adjusted_fdr,2024,8,Colorado,higher,5929,2613233.652422513,4426.266986033821,10,31,0.6888888888888889,1,0,6.2,9,0.8166666666666667,2024_08_income_binary_higher,income_binary,adjusted_fdr
2024_08_income_binary_higher__phi_008,2024,8,Colorado,higher,5929,2613233.652422513,4426.266986033821,10,25,0.5555555555555556,1,0,5.0,9,0.675,2024_08_income_binary_higher,income_binary,phi_008
2024_08_income_binary_higher__phi_012,2024,8,Colorado,higher,5929,2613233.652422513,4426.266986033821,10,14,0.3111111111111111,1,0,2.8,6,0.4864864864864865,2024_08_income_binary_higher,income_binary,phi_012
2024_08_income_binary_lower__adjusted_fdr,2024,8,Colorado,lower,2876,1223371.8699177103,2038.3221213223753,10,33,0.7333333333333333,1,0,6.6,9,0.7692307692307693,2024_08_income_binary_lower,income_binary,adjusted_fdr
2024_08_income_binary_lower__phi_008,2024,8,Colorado,lower,2876,1223371.8699177103,2038.3221213223753,10,32,0.7111111111111111,1,0,6.4,9,0.7978723404255319,2024_08_income_binary_lower,income_binary,phi_008
2024_08_income_binary_lower__phi_012,2024,8,Colorado,lower,2876,1223371.8699177103,2038.3221213223753,10,23,0.5111111111111111,1,0,4.6,9,0.6407766990291263,2024_08_income_binary_lower,income_binary,phi_012
2024_09_education_binary_higher__adjusted_fdr,2024,9,Connecticut,higher,5193,1863915.277963453,2734.0464334665076,10,30,0.6666666666666666,1,0,6.0,8,0.7134146341463414,2024_09_education_binary_higher,education_binary,adjusted_fdr
2024_09_education_binary_higher__adjusted_stable,2024,9,Connecticut,higher,5193,1863915.277963453,2734.0464334665076,10,30,0.6666666666666666,1,0,6.0,8,0.7134146341463414,2024_09_education_binary_higher,education_binary,adjusted_stable
2024_09_education_binary_higher__phi_008,2024,9,Connecticut,higher,5193,1863915.277963453,2734.0464334665076,10,22,0.4888888888888889,1,0,4.4,7,0.6847826086956522,2024_09_education_binary_higher,education_binary,phi_008
2024_09_education_binary_higher__phi_012,2024,9,Connecticut,higher,5193,1863915.277963453,2734.0464334665076,10,12,0.26666666666666666,2,1,2.4,6,0.41379310344827586,2024_09_education_binary_higher,education_binary,phi_012
2024_09_education_binary_lower__adjusted_fdr,2024,9,Connecticut,lower,1958,1038049.0971058925,996.1355979004968,10,18,0.4,1,0,3.6,6,0.55,2024_09_education_binary_lower,education_binary,adjusted_fdr
2024_09_education_binary_lower__adjusted_stable,2024,9,Connecticut,lower,1958,1038049.0971058925,996.1355979004968,10,18,0.4,1,0,3.6,6,0.55,2024_09_education_binary_lower,education_binary,adjusted_stable
2024_09_education_binary_lower__phi_008,2024,9,Connecticut,lower,1958,1038049.0971058925,996.1355979004968,10,25,0.5555555555555556,1,0,5.0,9,0.635593220338983,2024_09_education_binary_lower,education_binary,phi_008
2024_09_education_binary_lower__phi_012,2024,9,Connecticut,lower,1958,1038049.0971058925,996.1355979004968,10,17,0.37777777777777777,1,0,3.4,6,0.4117647058823529,2024_09_education_binary_lower,education_binary,phi_012
2024_09_income_binary_higher__adjusted_fdr,2024,9,Connecticut,higher,3900,1562827.218916472,2048.8212636565413,10,14,0.3111111111111111,2,1,2.8,5,0.5853658536585366,2024_09_income_binary_higher,income_binary,adjusted_fdr
2024_09_income_binary_higher__phi_008,2024,9,Connecticut,higher,3900,1562827.218916472,2048.8212636565413,10,20,0.4444444444444444,1,0,4.0,8,0.6551724137931034,2024_09_income_binary_higher,income_binary,phi_008
2024_09_income_binary_higher__phi_012,2024,9,Connecticut,higher,3900,1562827.218916472,2048.8212636565413,10,14,0.3111111111111111,3,2,2.8,6,0.6136363636363636,2024_09_income_binary_higher,income_binary,phi_012
2024_09_income_binary_lower__adjusted_fdr,2024,9,Connecticut,lower,1789,693801.3443860351,849.0139738060864,10,18,0.4,1,0,3.6,6,0.5084745762711864,2024_09_income_binary_lower,income_binary,adjusted_fdr
2024_09_income_binary_lower__phi_008,2024,9,Connecticut,lower,1789,693801.3443860351,849.0139738060864,10,27,0.6,1,0,5.4,9,0.6739130434782609,2024_09_income_binary_lower,income_binary,phi_008
2024_09_income_binary_lower__phi_012,2024,9,Connecticut,lower,1789,693801.3443860351,849.0139738060864,10,17,0.37777777777777777,1,0,3.4,7,0.48214285714285715,2024_09_income_binary_lower,income_binary,phi_012
2024_10_education_binary_higher__adjusted_fdr,2024,10,Delaware,higher,2995,511371.640078207,1375.0261659242403,10,29,0.6444444444444445,1,0,5.8,8,0.7784810126582279,2024_10_education_binary_higher,education_binary,adjusted_fdr
2024_10_education_binary_higher__adjusted_stable,2024,10,Delaware,higher,2995,511371.640078207,1375.0261659242403,10,29,0.6444444444444445,1,0,5.8,8,0.7784810126582279,2024_10_education_binary_higher,education_binary,adjusted_stable
2024_10_education_binary_higher__phi_008,2024,10,Delaware,higher,2995,511371.640078207,1375.0261659242403,10,27,0.6,1,0,5.4,9,0.7226277372262774,2024_10_education_binary_higher,education_binary,phi_008
2024_10_education_binary_higher__phi_012,2024,10,Delaware,higher,2995,511371.640078207,1375.0261659242403,10,20,0.4444444444444444,1,0,4.0,7,0.4583333333333333,2024_10_education_binary_higher,education_binary,phi_012
