similarity_metric,metric,observed,null_mean,null_standard_deviation,null_q025,null_q975,p_value_one_sided_greater,permutations,paired_states,permutation_scheme,null_hypothesis,ses_definition,rule_id
edge_jaccard,higher_ses_mean,0.6730915402055206,0.6902831417589262,0.010004001371024427,0.6718583655498831,0.7107155675243058,0.9652034796520348,10000,48,within_state_lower_higher_label_swap,Graph structure is unrelated to SES label conditional on state,income_binary,phi_008
edge_jaccard,cross_ses_mean,0.6663370110893705,0.6903455247185195,0.0010840184519530839,0.6875452434870596,0.6918006940165811,1.0,10000,48,within_state_lower_higher_label_swap,Graph structure is unrelated to SES label conditional on state,income_binary,phi_008
edge_jaccard,same_minus_cross,0.04803828683150435,2.1259573205635918e-05,0.002168036903906169,-0.0028890790229176427,0.005621822036125358,9.999000099990002e-05,10000,48,within_state_lower_higher_label_swap,Graph structure is unrelated to SES label conditional on state,income_binary,phi_008
edge_jaccard,lower_minus_cross,0.08932204454685844,0.00010490210600633985,0.010187704917789775,-0.01761294500468966,0.022045625019998932,9.999000099990002e-05,10000,48,within_state_lower_higher_label_swap,Graph structure is unrelated to SES label conditional on state,income_binary,phi_008
edge_jaccard,higher_minus_cross,0.006754529116150154,-6.238295959320885e-05,0.01017565713330878,-0.017713956209876758,0.021855824837701997,0.24087591240875914,10000,48,within_state_lower_higher_label_swap,Graph structure is unrelated to SES label conditional on state,income_binary,phi_008
density_adjusted_jaccard_z,same_ses_mean,4.893630010955085,4.642021014277299,0.01400973024863805,4.621583989856658,4.675600177138873,9.999000099990002e-05,10000,48,within_state_lower_higher_label_swap,Graph structure is unrelated to SES label conditional on state,income_binary,phi_008
density_adjusted_jaccard_z,lower_ses_mean,4.797342474426747,4.643658277401701,0.1081575023500653,4.443658616138352,4.859134230780289,0.07989201079892011,10000,48,within_state_lower_higher_label_swap,Graph structure is unrelated to SES label conditional on state,income_binary,phi_008
density_adjusted_jaccard_z,higher_ses_mean,4.989917547483423,4.640383751152901,0.10808286940133588,4.43514971543193,4.853094440430566,0.0010998900109989002,10000,48,within_state_lower_higher_label_swap,Graph structure is unrelated to SES label conditional on state,income_binary,phi_008
density_adjusted_jaccard_z,cross_ses_mean,4.390093541357622,4.641702538035406,0.014009730248638068,4.608123375173833,4.6621395624560495,1.0,10000,48,within_state_lower_higher_label_swap,Graph structure is unrelated to SES label conditional on state,income_binary,phi_008
density_adjusted_jaccard_z,same_minus_cross,0.5035364695974627,0.00031847624189257725,0.028019460497276116,-0.04055557259939173,0.0674768019650394,9.999000099990002e-05,10000,48,within_state_lower_higher_label_swap,Graph structure is unrelated to SES label conditional on state,income_binary,phi_008
density_adjusted_jaccard_z,lower_minus_cross,0.40724893306912513,0.0019557393662936002,0.11088251560914487,-0.19871464636649863,0.22807982919192932,0.00019998000199980003,10000,48,within_state_lower_higher_label_swap,Graph structure is unrelated to SES label conditional on state,income_binary,phi_008
density_adjusted_jaccard_z,higher_minus_cross,0.5998240061258011,-0.001318786882505969,0.1107368726064447,-0.20537588520987496,0.22274721643678982,9.999000099990002e-05,10000,48,within_state_lower_higher_label_swap,Graph structure is unrelated to SES label conditional on state,income_binary,phi_008
edge_jaccard,same_ses_mean,0.6110879107332952,0.5650603335905366,0.0017867327818632533,0.5628480382612862,0.5696967280826415,9.999000099990002e-05,10000,48,within_state_lower_higher_label_swap,Graph structure is unrelated to SES label conditional on state,income_binary,phi_012
edge_jaccard,lower_ses_mean,0.6572042977225109,0.5651017365365627,0.01283769941046227,0.5409596015382901,0.5909711878170784,9.999000099990002e-05,10000,48,within_state_lower_higher_label_swap,Graph structure is unrelated to SES label conditional on state,income_binary,phi_012
edge_jaccard,higher_ses_mean,0.5649715237440794,0.5650189306445084,0.012880450201740164,0.5408055944309197,0.5909319647518473,0.49665033496650335,10000,48,within_state_lower_higher_label_swap,Graph structure is unrelated to SES label conditional on state,income_binary,phi_012
edge_jaccard,cross_ses_mean,0.5189796836852308,0.5650072608279907,0.0017867327818632535,0.5603708663358858,0.5672195561572413,1.0,10000,48,within_state_lower_higher_label_swap,Graph structure is unrelated to SES label conditional on state,income_binary,phi_012
edge_jaccard,same_minus_cross,0.09210822704806432,5.307276254595164e-05,0.0035734655637265065,-0.004371517895955221,0.009325861746755678,9.999000099990002e-05,10000,48,within_state_lower_higher_label_swap,Graph structure is unrelated to SES label conditional on state,income_binary,phi_012
edge_jaccard,lower_minus_cross,0.13822461403728004,9.447570857193327e-05,0.01318461348055662,-0.023937806199726193,0.027240539883807976,9.999000099990002e-05,10000,48,within_state_lower_higher_label_swap,Graph structure is unrelated to SES label conditional on state,income_binary,phi_012
edge_jaccard,higher_minus_cross,0.0459918400588486,1.166981651765966e-05,0.013267741899958909,-0.024063823115498872,0.027566551013680756,0.0013998600139986002,10000,48,within_state_lower_higher_label_swap,Graph structure is unrelated to SES label conditional on state,income_binary,phi_012
density_adjusted_jaccard_z,same_ses_mean,5.249555373564676,4.815873612049781,0.019601383687926945,4.789059240087664,4.864461313613079,9.999000099990002e-05,10000,48,within_state_lower_higher_label_swap,Graph structure is unrelated to SES label conditional on state,income_binary,phi_012
density_adjusted_jaccard_z,lower_ses_mean,5.1956536717358555,4.817114627286221,0.1356740198503964,4.558418151377956,5.086924155884612,0.0027997200279972004,10000,48,within_state_lower_higher_label_swap,Graph structure is unrelated to SES label conditional on state,income_binary,phi_012
density_adjusted_jaccard_z,higher_ses_mean,5.303457075393497,4.814632596813334,0.13594054873254283,4.555321073365352,5.08775409943739,0.00019998000199980003,10000,48,within_state_lower_higher_label_swap,Graph structure is unrelated to SES label conditional on state,income_binary,phi_012
density_adjusted_jaccard_z,cross_ses_mean,4.381534257177274,4.815216018692179,0.01960138368792682,4.766628317128883,4.842030390654295,1.0,10000,48,within_state_lower_higher_label_swap,Graph structure is unrelated to SES label conditional on state,income_binary,phi_012
density_adjusted_jaccard_z,same_minus_cross,0.8680211163874016,0.000657593357601736,0.039202767375853764,-0.05297115056663111,0.09783299648419645,9.999000099990002e-05,10000,48,within_state_lower_higher_label_swap,Graph structure is unrelated to SES label conditional on state,income_binary,phi_012
density_adjusted_jaccard_z,lower_minus_cross,0.8141194145585811,0.0018986085940415598,0.13972789924041726,-0.2588020741302973,0.28777507171725486,9.999000099990002e-05,10000,48,within_state_lower_higher_label_swap,Graph structure is unrelated to SES label conditional on state,income_binary,phi_012
density_adjusted_jaccard_z,higher_minus_cross,0.9219228182162222,-0.0005834218788455914,0.14024504298127038,-0.2634423624184159,0.2841408708302079,9.999000099990002e-05,10000,48,within_state_lower_higher_label_swap,Graph structure is unrelated to SES label conditional on state,income_binary,phi_012
