graph_id,source_condition,target_condition,weighted_phi,n_complete,source_cases,target_cases,cooccurring_cases,kish_effective_n,edge_present_phi_008,edge_present_phi_012,edge_present_adjusted_fdr,edge_present_adjusted_stable,odds_ratio,reverse_odds_ratio,confidence_low,confidence_high,q_value,direction_concordant,positive_stability,stability_wilson_low,stability_wilson_high,bootstrap_replicates_valid
2024_06_education_binary_lower,CURRENT_ASTHMA,DEPRESSIVE_DISORDER,0.15327271191518202,2494,219,408,65,1440.0339775336274,True,True,True,True,3.49232377711494,3.4833497192199903,2.282633329016771,5.343094402926256,6.817399825554173e-08,True,1.0,0.9811546736227335,1.0,200.0
2024_06_education_binary_lower,CURRENT_ASTHMA,KIDNEY_DISEASE,0.014502642464945514,2505,221,120,18,1448.2722884525158,False,False,False,False,1.2146345493437045,1.227630176115263,0.5999439522705419,2.4591248613738634,0.7161830538556184,True,,,,
2024_06_education_binary_lower,CURRENT_ASTHMA,ARTHRITIS,0.14571372891556425,2491,220,612,96,1440.8658305745953,True,True,True,True,4.346029505608778,4.367463384088746,2.7433931445375825,6.88489453333746,5.018792542940407e-09,True,1.0,0.9811546736227335,1.0,200.0
2024_06_education_binary_lower,CURRENT_ASTHMA,DIABETES,0.057114953440039105,2499,219,411,53,1446.82716314196,False,False,True,True,1.7982859427050284,1.7871362637156125,1.1193334181685128,2.8890697617353314,0.02990924662518,True,1.0,0.9811546736227335,1.0,200.0
2024_06_education_binary_lower,SKIN_CANCER,OTHER_CANCER,0.23443141659238248,2506,102,160,36,1454.312204345361,True,True,True,True,6.648653398281062,6.5530880189195155,3.535449636266499,12.503244723676962,4.1459184519183e-08,True,1.0,0.9811546736227335,1.0,200.0
2024_06_education_binary_lower,SKIN_CANCER,COPD,0.05756515783359263,2512,104,154,18,1457.3479315418797,False,False,False,False,1.6401734346912322,1.6354349405741793,0.8154243397555686,3.299103012639099,0.22519893688670725,True,,,,
2024_06_education_binary_lower,SKIN_CANCER,DEPRESSIVE_DISORDER,-0.003750543645117546,2500,104,408,15,1447.6273609638,False,False,False,False,1.1331234264307537,1.1387707820982877,0.5474748718299569,2.345255947975209,0.787722712470785,True,,,,
2024_06_education_binary_lower,SKIN_CANCER,KIDNEY_DISEASE,0.06505663860565955,2512,103,119,16,1456.851108747673,False,False,False,False,2.186542632828528,2.1671577718646384,0.9214156756667492,5.188720803688442,0.11791038398428288,True,,,,
2024_06_education_binary_lower,SKIN_CANCER,ARTHRITIS,0.07035736736079198,2498,103,612,55,1449.4412761819235,False,False,False,False,0.9237631116166403,0.9085997567396191,0.5523967269438526,1.5447924376829136,0.787722712470785,True,,,,
2024_06_education_binary_lower,SKIN_CANCER,DIABETES,-0.01610291433468798,2505,104,407,16,1454.3652906417856,False,False,False,False,0.3325419662224478,0.333188224127955,0.14304245274947677,0.77308629133176,0.02158383975726273,True,,,,
2024_06_education_binary_lower,OTHER_CANCER,COPD,0.14004232857831167,2514,163,155,27,1457.7455460513947,True,True,True,True,3.1219167255563534,3.1141446265109995,1.6165275732684938,6.029197523431081,0.0019831056585446253,True,1.0,0.9811546736227335,1.0,200.0
2024_06_education_binary_lower,OTHER_CANCER,DEPRESSIVE_DISORDER,0.051931905431069535,2503,161,410,40,1449.0039274793594,False,False,True,True,2.2738851984254476,2.2504261057753547,1.3170724401035325,3.925793098526843,0.00802149175244525,True,1.0,0.9811546736227335,1.0,200.0
2024_06_education_binary_lower,OTHER_CANCER,KIDNEY_DISEASE,0.052563533805014155,2513,162,118,22,1456.2736611356813,False,False,False,False,1.4437401302278363,1.471768822687884,0.7223134393844454,2.885707851990968,0.39509477336732823,True,,,,
2024_06_education_binary_lower,OTHER_CANCER,ARTHRITIS,0.16557317953932893,2499,162,611,86,1448.848625199734,True,True,False,False,1.666443218456897,1.663801051516235,0.9889440232193936,2.808079057195437,0.08960399544121908,True,,,,
2024_06_education_binary_lower,OTHER_CANCER,DIABETES,0.0778155159184575,2507,163,409,43,1454.7797372309235,False,False,False,False,1.1324554946403969,1.1419072589338153,0.6646500930282142,1.929519698851206,0.7389185002689149,True,,,,
2024_06_education_binary_lower,COPD,DEPRESSIVE_DISORDER,0.10634919810901282,2509,155,411,48,1451.9974108566753,True,False,True,True,3.8390323588189887,3.8547790780948326,2.364291665656244,6.2336511464072775,3.723891655008645e-07,True,1.0,0.9811546736227335,1.0,200.0
2024_06_education_binary_lower,COPD,KIDNEY_DISEASE,0.04575889707142158,2520,155,120,20,1460.2366637167884,False,False,False,False,1.72017340401141,1.7197567176584527,0.840237016446147,3.521621259181749,0.20002991952364402,True,,,,
2024_06_education_binary_lower,COPD,ARTHRITIS,0.17503330653330884,2506,152,615,83,1452.8259212398073,True,True,True,True,3.4631951158862373,3.465989228291876,2.0240916987807838,5.925482732784694,3.0116152664210044e-05,True,1.0,0.9811546736227335,1.0,200.0
2024_06_education_binary_lower,COPD,DIABETES,0.043287402794528626,2514,153,408,36,1458.7981831085003,False,False,False,False,1.079636972531234,1.0807575675890797,0.6179630105766803,1.8862229170782596,0.787722712470785,True,,,,
2024_06_education_binary_lower,DEPRESSIVE_DISORDER,KIDNEY_DISEASE,0.004201429931996102,2510,413,119,27,1452.1710761819886,False,False,False,False,1.155688921076603,1.1577353546779252,0.6102857964901977,2.1885105142220955,0.7389185002689149,True,,,,
2024_06_education_binary_lower,DEPRESSIVE_DISORDER,ARTHRITIS,0.12025185418805469,2495,407,612,145,1444.0988680418113,True,True,True,True,3.5344005024469975,3.554420067206546,2.4424137169663083,5.114607253030709,3.881024496293864e-10,True,1.0,0.9811546736227335,1.0,200.0
2024_06_education_binary_lower,DEPRESSIVE_DISORDER,DIABETES,-0.005627705579398598,2504,411,408,67,1450.3184752026425,False,False,False,False,1.1134581202323328,1.1120463185333513,0.7136939167980153,1.7371438320136283,0.7389185002689149,True,,,,
2024_06_education_binary_lower,KIDNEY_DISEASE,ARTHRITIS,0.0703306077624015,2507,120,614,58,1453.3221136338825,False,False,False,False,1.214480760159605,1.2017676191959277,0.6450043799172026,2.2867496139905112,0.6839240887371351,True,,,,
2024_06_education_binary_lower,KIDNEY_DISEASE,DIABETES,0.1448224825528661,2514,118,408,52,1457.9773900870412,True,True,True,True,3.1325682489674596,3.1234208831034764,1.721853441495624,5.699081929943706,0.0006014072039052858,True,1.0,0.9811546736227335,1.0,200.0
2024_06_education_binary_lower,ARTHRITIS,DIABETES,0.17654271268839192,2499,614,404,166,1449.8980563953646,True,True,False,False,1.415535091442698,1.4170635426177978,0.9914904929373726,2.020936770830191,0.08960399544121908,True,,,,
