graph_id,geography_code,geography,ses_category,edge_count,density,mean_same_ses_jaccard,median_same_ses_jaccard,mean_same_ses_density_adjusted_z,robust_similarity_z,robust_density_adjusted_similarity_z,n_unweighted,weighted_population_estimate,kish_effective_n,n_strata,n_psu,ses_definition,rule_id
2024_15_education_binary_higher,15,Hawaii,higher,33,0.7333333333333333,0.7359334710824342,0.75,3.4586010834008927,-0.43726217913857474,-0.5268675684442743,4732,731598.5682446372,2245.814417034935,16,4732,education_binary,adjusted_fdr
2024_01_education_binary_higher,1,Alabama,higher,28,0.6222222222222222,0.7363765404546782,0.7325119236883944,4.4098725023424326,-0.42682849621537355,1.206623274465503,3331,2289224.873411157,2127.1728106886994,32,3331,education_binary,adjusted_fdr
2024_25_education_binary_higher,25,Massachusetts,higher,36,0.8,0.7370077428387972,0.7530487804878049,2.9912681332644473,-0.41196453596708676,-1.3784829681300343,7012,3798851.2897846736,4474.181276278983,39,7012,education_binary,adjusted_fdr
2024_13_education_binary_higher,13,Georgia,higher,33,0.7333333333333333,0.7370236236000841,0.7533783783783784,3.473140608898731,-0.41159056557277285,-0.5003723602325107,4805,5204231.645053592,2222.9533787684472,93,4805,education_binary,adjusted_fdr
2024_44_education_binary_higher,44,Rhode Island,higher,31,0.6888888888888889,0.7420084730446603,0.7631578947368421,3.9228143138752474,-0.2942041205084297,0.3190628023853712,3889,549085.1643150706,2148.1555638105465,19,3889,education_binary,adjusted_fdr
2024_06_education_binary_higher,6,California,higher,37,0.8222222222222222,0.7517332279192522,0.7777439024390245,3.1827640740023107,-0.06519932978349485,-1.0295221425300802,5797,19041264.215503752,2679.125435867049,27,5797,education_binary,adjusted_fdr
2024_21_education_binary_higher,21,Kentucky,higher,34,0.7555555555555555,0.7533673812565205,0.7821357943309163,3.6285500124929713,-0.02671723456983304,-0.21717161156243908,4354,1936374.5347241838,2008.8820964480537,59,4354,education_binary,adjusted_fdr
2024_50_education_binary_higher,50,Vermont,higher,29,0.6444444444444445,0.7545019363734511,0.7603668261562999,4.553539472742204,0.0,1.468425923696468,5004,353696.77835692256,3143.4605163852284,49,5004,education_binary,adjusted_fdr
2024_49_education_binary_higher,49,Utah,higher,37,0.8222222222222222,0.7559157329026726,0.7793918918918918,3.245547087055693,0.03329299118355291,-0.9151133880450348,8882,1734039.1454278072,5185.42341107576,53,8882,education_binary,adjusted_fdr
2024_12_education_binary_higher,12,Florida,higher,36,0.8,0.7568854407694615,0.7921727395411606,3.4038678207549617,0.05612829654210036,-0.6266073563849943,8633,11390032.978743833,2188.1128781209063,240,8633,education_binary,adjusted_fdr
2024_51_education_binary_higher,51,Virginia,higher,32,0.7111111111111111,0.7571333539170731,0.7807807807807807,4.055897597654605,0.06196631500312039,0.5615789225822474,4937,4532942.731241265,2261.1273207622908,105,4937,education_binary,adjusted_fdr
2024_40_education_binary_higher,40,Oklahoma,higher,33,0.7333333333333333,0.7598661222922933,0.7791327913279134,3.9219843222683783,0.12631930466069066,0.317550318333448,4640,1775143.7919750924,3474.207187835976,26,4640,education_binary,adjusted_fdr
2024_18_education_binary_higher,18,Indiana,higher,36,0.8,0.7666349794196251,0.7894736842105263,3.621087372494185,0.2857167115754481,-0.23077069363748168,8277,2982722.3676970475,5475.507755602477,41,8277,education_binary,adjusted_fdr
