graph_id,condition,n_valid,n_cases,unweighted_prevalence,weighted_prevalence,weighted_population_denominator,kish_effective_n,ses_definition,ses_category
2023_30_education_binary_lower,OTHER_CANCER,2076,255,0.12283236994219653,0.09604955624858222,321054.9319826939,1279.2304379845737,education_binary,lower
2023_30_education_binary_lower,COPD,2067,221,0.1069182389937107,0.09160530553877202,319106.28889686987,1274.7344014367188,education_binary,lower
2023_30_education_binary_lower,DEPRESSIVE_DISORDER,2079,464,0.22318422318422318,0.25214739950828274,320650.02861718764,1279.533095892986,education_binary,lower
2023_30_education_binary_lower,KIDNEY_DISEASE,2081,92,0.044209514656415184,0.030283248236989305,321654.9246447538,1280.1144085148785,education_binary,lower
2023_30_education_binary_lower,ARTHRITIS,2076,779,0.37524084778420036,0.29302843296249104,320137.16711044713,1275.4254402133643,education_binary,lower
2023_30_education_binary_lower,DIABETES,2084,294,0.14107485604606526,0.09901869973466862,321890.23446664534,1281.948636703823,education_binary,lower
2023_30_education_binary_higher,ISCHEMIC_HEART_DISEASE,4995,399,0.07987987987987988,0.0546145597124373,576636.9642462885,2992.2714798019592,education_binary,higher
2023_30_education_binary_higher,STROKE,5016,200,0.03987240829346093,0.029158223273241943,577835.9004573519,3005.461769886655,education_binary,higher
2023_30_education_binary_higher,CURRENT_ASTHMA,4992,531,0.1063701923076923,0.112207400135219,574351.6004564642,2991.38211727655,education_binary,higher
2023_30_education_binary_higher,SKIN_CANCER,4996,515,0.10308246597277822,0.08315587031528283,576883.4556989382,2993.711295620723,education_binary,higher
2023_30_education_binary_higher,OTHER_CANCER,5005,668,0.13346653346653348,0.10955792983761599,576403.7577104943,2996.107348976466,education_binary,higher
2023_30_education_binary_higher,COPD,5007,351,0.0701018573996405,0.06240242099426062,577063.5744418661,2998.051902446995,education_binary,higher
2023_30_education_binary_higher,DEPRESSIVE_DISORDER,5015,1072,0.21375872382851446,0.24077404864083293,577263.1173567,3009.6605875039872,education_binary,higher
2023_30_education_binary_higher,KIDNEY_DISEASE,5018,203,0.04045436428856118,0.03243894115568411,578291.7773828539,3004.2212801985343,education_binary,higher
2023_30_education_binary_higher,ARTHRITIS,5002,1802,0.3602558976409436,0.29026011167023247,576554.7997694555,2997.145789304015,education_binary,higher
2023_30_education_binary_higher,DIABETES,5028,586,0.11654733492442323,0.092131477988727,578813.5467068215,3013.2926911555437,education_binary,higher
2023_31_education_binary_lower,ISCHEMIC_HEART_DISEASE,4498,413,0.09181858603823921,0.06988658197975925,522790.97071757313,2330.3595796897275,education_binary,lower
2023_31_education_binary_lower,STROKE,4541,181,0.03985906188064303,0.029826420850658023,526478.4513000271,2354.293107122247,education_binary,lower
2023_31_education_binary_lower,CURRENT_ASTHMA,4529,376,0.08302053433429013,0.07733166142889451,525217.8952417052,2345.944168002054,education_binary,lower
2023_31_education_binary_lower,SKIN_CANCER,4535,242,0.053362734288864386,0.03785932070310363,525174.550052206,2360.3999690728083,education_binary,lower
2023_31_education_binary_lower,OTHER_CANCER,4538,407,0.08968708682238871,0.061275077045832155,526478.4390918921,2353.029723300097,education_binary,lower
2023_31_education_binary_lower,COPD,4544,411,0.09044894366197183,0.07025657689317172,527033.9894411026,2356.407948614548,education_binary,lower
2023_31_education_binary_lower,DEPRESSIVE_DISORDER,4540,712,0.1568281938325991,0.17471410790957276,525703.2689984199,2353.219273678917,education_binary,lower
2023_31_education_binary_lower,KIDNEY_DISEASE,4497,169,0.03758060929508561,0.028497744126977316,521776.43982202164,2333.2381603426124,education_binary,lower
2023_31_education_binary_lower,ARTHRITIS,4531,1361,0.3003751931141028,0.23522699966893096,524627.4751433572,2345.942127131206,education_binary,lower
2023_31_education_binary_lower,DIABETES,4547,657,0.14449087310314493,0.11336599796718329,526455.0854039651,2362.754375244185,education_binary,lower
2023_31_education_binary_higher,ISCHEMIC_HEART_DISEASE,8246,594,0.07203492602473927,0.05143396148205039,972429.3938077445,4437.645103865129,education_binary,higher
2023_31_education_binary_higher,STROKE,8281,279,0.033691583142132595,0.026911581032274357,975482.0100712574,4453.32325937383,education_binary,higher
2023_31_education_binary_higher,CURRENT_ASTHMA,8258,706,0.08549285541293292,0.08882906840617665,973120.3008915202,4444.539269202811,education_binary,higher
2023_31_education_binary_higher,SKIN_CANCER,8256,608,0.07364341085271318,0.0574991705081706,973719.8733702415,4440.931590131615,education_binary,higher
2023_31_education_binary_higher,OTHER_CANCER,8272,978,0.11823017408123791,0.09179151192415998,974961.5455971227,4449.0940420865445,education_binary,higher
2023_31_education_binary_higher,COPD,8269,488,0.059015600435360985,0.046887204588442075,973735.1015612108,4447.737353049637,education_binary,higher
2023_31_education_binary_higher,DEPRESSIVE_DISORDER,8268,1379,0.16678761490082245,0.1821393410505434,972817.0585835974,4445.12857511462,education_binary,higher
2023_31_education_binary_higher,KIDNEY_DISEASE,8218,316,0.03845217814553419,0.03238912850755037,968841.3382171404,4426.120429798831,education_binary,higher
2023_31_education_binary_higher,ARTHRITIS,8263,2466,0.2984388236717899,0.24237033401626262,973016.0509263158,4443.601392101256,education_binary,higher
2023_31_education_binary_higher,DIABETES,8291,1005,0.12121577614280545,0.10169806210552818,976245.9822380767,4458.335169158908,education_binary,higher
