graph_id,source_condition,target_condition,association,standard_error,p_value,n_complete,source_cases,target_cases,cooccurring_cases,weighted_n,kish_effective_n,weighted_source_prevalence,weighted_target_prevalence,weighted_joint_prevalence,estimator,inference_scope,pair_eligible,exclusion_reason,q_value,edge_present,ses_definition,ses_category,point_phi,p_phi_gt_zero,p_phi_ge_012,bootstrap_phi_median,bootstrap_phi_025,bootstrap_phi_975,selection_stability_standard_error,selection_stability_wilson_low,selection_stability_wilson_high,bootstrap_replicates_requested,bootstrap_replicates_valid,bootstrap_status,bootstrap_message,rule_id,minimum_effect,association_scale
2023_48_education_binary_higher,CURRENT_ASTHMA,DIABETES,0.02321912306806939,,,6735,608,878,102,13550409.323564976,1978.9204393439986,0.08306610465609537,0.11019774630358888,0.011160293131437312,survey_bootstrap_stable_phi,design_bootstrap,True,,,False,education_binary,higher,0.0232191230680694,0.894,0.0,0.0219706767107387,-0.0127407126996049,0.0644590866604035,0.0,4.336808689942018e-19,0.007624340461552241,500.0,500.0,ok,,phi_012_stable,0.12,weighted_phi
2023_48_education_binary_higher,SKIN_CANCER,OTHER_CANCER,0.2852618490753976,,,6728,537,678,223,13542363.208088418,1977.910678517504,0.04649771893970779,0.06297931018579432,0.017519692193974073,survey_bootstrap_stable_phi,design_bootstrap,True,,,True,education_binary,higher,0.285261849075398,1.0,1.0,0.282624236249216,0.219566598221079,0.351477311576687,0.0,0.9923756595384479,1.0,500.0,500.0,ok,,phi_012_stable,0.12,weighted_phi
2023_48_education_binary_higher,SKIN_CANCER,COPD,0.03684978505596995,,,6721,546,395,58,13498591.8136941,1973.0762440043975,0.04717741270366827,0.03997672067852081,0.0034165658149143147,survey_bootstrap_stable_phi,design_bootstrap,True,,,False,education_binary,higher,0.0368497850559699,0.994,0.0,0.0363322548882672,0.0081559727787462,0.0686764826253677,0.0,4.336808689942018e-19,0.007624340461552241,500.0,500.0,ok,,phi_012_stable,0.12,weighted_phi
2023_48_education_binary_higher,SKIN_CANCER,DEPRESSIVE_DISORDER,-0.04896246739406539,,,6715,545,1326,75,13500778.029940799,1970.674966084474,0.046940746333191556,0.19295359526763564,0.004970674712167326,survey_bootstrap_stable_phi,design_bootstrap,True,,,False,education_binary,higher,-0.0489624673940654,0.0,0.0,-0.0488046365172335,-0.0728972396919322,-0.0223951065185596,0.0,4.336808689942018e-19,0.007624340461552241,500.0,500.0,ok,,phi_012_stable,0.12,weighted_phi
2023_48_education_binary_higher,SKIN_CANCER,KIDNEY_DISEASE,0.06486331259002753,,,6727,543,311,64,13494635.892057892,1994.8599202621901,0.04689234757291227,0.028898066988960597,0.0036522404874895892,survey_bootstrap_stable_phi,design_bootstrap,True,,,False,education_binary,higher,0.0648633125900275,0.998,0.008,0.063507439071566,0.0303482317663408,0.112297605254347,0.003983967871356395,0.00311531518006224,0.020387035834105168,500.0,500.0,ok,,phi_012_stable,0.12,weighted_phi
2023_48_education_binary_higher,SKIN_CANCER,ARTHRITIS,0.10823869398454891,,,6718,544,1859,272,13507122.417935561,1973.8134383995955,0.04683424426557932,0.21295204021634487,0.01933590880414909,survey_bootstrap_stable_phi,design_bootstrap,True,,,False,education_binary,higher,0.108238693984549,1.0,0.282,0.109633378839508,0.0716278673373238,0.148794649215744,0.020123419192572618,0.2443364332272433,0.32298777921399346,500.0,500.0,ok,,phi_012_stable,0.12,weighted_phi
2023_48_education_binary_higher,SKIN_CANCER,DIABETES,0.05698951603805983,,,6733,547,869,96,13522511.630235998,1977.7063987146873,0.04715129689010635,0.10953101765970061,0.00893705102988231,survey_bootstrap_stable_phi,design_bootstrap,True,,,False,education_binary,higher,0.0569895160380598,0.998,0.008,0.0546339400155275,0.0159368314641555,0.105808288623472,0.003983967871356395,0.00311531518006224,0.020387035834105168,500.0,500.0,ok,,phi_012_stable,0.12,weighted_phi
2023_48_education_binary_higher,OTHER_CANCER,COPD,0.06566439094963973,,,6733,684,396,76,13541583.313897645,1978.260808721213,0.06336277341596495,0.040971359340619594,0.005767003833608837,survey_bootstrap_stable_phi,design_bootstrap,True,,,False,education_binary,higher,0.0656643909496397,1.0,0.016,0.0653959018748741,0.0255051521950956,0.113726718955629,0.005611416933360059,0.008129253033388314,0.03125110853339426,500.0,500.0,ok,,phi_012_stable,0.12,weighted_phi
2023_48_education_binary_higher,OTHER_CANCER,DEPRESSIVE_DISORDER,0.01183199371497837,,,6728,686,1333,127,13547200.347095959,1976.6130816787165,0.06361806687342228,0.19359140527264532,0.01345693630155101,survey_bootstrap_stable_phi,design_bootstrap,True,,,False,education_binary,higher,0.0118319937149784,0.708,0.0,0.0109823526586296,-0.0245366790152669,0.0553060474112758,0.0,4.336808689942018e-19,0.007624340461552241,500.0,500.0,ok,,phi_012_stable,0.12,weighted_phi
2023_48_education_binary_higher,OTHER_CANCER,KIDNEY_DISEASE,0.1276680648724982,,,6739,685,312,87,13537627.392261434,2000.0186979667074,0.06341003532452702,0.028812908534747127,0.007031551651436719,survey_bootstrap_stable_phi,design_bootstrap,True,,,False,education_binary,higher,0.127668064872498,1.0,0.616,0.127800853893987,0.0702703304206591,0.18702413454411,0.02175058619899703,0.5726388276307122,0.6575923253822078,500.0,500.0,ok,,phi_012_stable,0.12,weighted_phi
2023_48_education_binary_higher,OTHER_CANCER,ARTHRITIS,0.15131119915288224,,,6731,684,1860,336,13550234.448588312,1979.0334652760735,0.06337914475891893,0.21370058577518924,0.02865619723457346,survey_bootstrap_stable_phi,design_bootstrap,True,,,True,education_binary,higher,0.151311199152882,1.0,0.946,0.152758265642399,0.113073691098919,0.190815163351062,0.010107818755794947,0.9225734384893529,0.9626256498189425,500.0,500.0,ok,,phi_012_stable,0.12,weighted_phi
2023_48_education_binary_higher,OTHER_CANCER,DIABETES,0.07094094353700332,,,6745,686,875,149,13565503.130439542,1982.8897029167304,0.06330379875478287,0.10999953750189234,0.012368464172016093,survey_bootstrap_stable_phi,design_bootstrap,True,,,False,education_binary,higher,0.0709409435370033,1.0,0.016,0.0732935720204531,0.0332720064731432,0.114875424399219,0.005611416933360059,0.008129253033388314,0.03125110853339426,500.0,500.0,ok,,phi_012_stable,0.12,weighted_phi
2023_48_education_binary_higher,COPD,DEPRESSIVE_DISORDER,0.10818859290961791,,,6726,395,1332,137,13505161.130938869,1972.3542334675399,0.041019979919454566,0.1933441201550416,0.016405072422639316,survey_bootstrap_stable_phi,design_bootstrap,True,,,False,education_binary,higher,0.108188592909618,1.0,0.3,0.107040163206092,0.0627405740007704,0.158547446573561,0.020493901531919195,0.2614819321406983,0.3415678040439227,500.0,500.0,ok,,phi_012_stable,0.12,weighted_phi
2023_48_education_binary_higher,COPD,KIDNEY_DISEASE,0.10673411804635381,,,6738,395,312,57,13500351.125365686,1996.8526531870766,0.0409807746014042,0.028881344007478216,0.004727238266878529,survey_bootstrap_stable_phi,design_bootstrap,True,,,False,education_binary,higher,0.106734118046354,1.0,0.312,0.104375764779167,0.0515191330734035,0.163982900815968,0.02071984555926998,0.27295294872528497,0.3539138032882587,500.0,500.0,ok,,phi_012_stable,0.12,weighted_phi
2023_48_education_binary_higher,COPD,ARTHRITIS,0.19548281771107076,,,6731,395,1863,230,13528508.780525904,1975.2508434858983,0.04074959277529198,0.21311804059188647,0.024511565284019984,survey_bootstrap_stable_phi,design_bootstrap,True,,,True,education_binary,higher,0.195482817711071,1.0,1.0,0.194443504627671,0.150230370499264,0.243765416002159,0.0,0.9923756595384479,1.0,500.0,500.0,ok,,phi_012_stable,0.12,weighted_phi
2023_48_education_binary_higher,COPD,DIABETES,0.058732417756474475,,,6744,397,874,100,13541190.415994277,1978.4845138890116,0.04107093192809831,0.10955187545327393,0.008139827076616393,survey_bootstrap_stable_phi,design_bootstrap,True,,,False,education_binary,higher,0.0587324177564745,0.998,0.006,0.057605006924949,0.0195991854710629,0.0996621460654469,0.0034536936748935914,0.0020425962719602363,0.01749025210405338,500.0,500.0,ok,,phi_012_stable,0.12,weighted_phi
2023_48_education_binary_higher,DEPRESSIVE_DISORDER,KIDNEY_DISEASE,0.041953766662515476,,,6731,1333,314,79,13500033.161978953,1993.7832227150368,0.1914978233085363,0.028930873096848244,0.008307136535420666,survey_bootstrap_stable_phi,design_bootstrap,True,,,False,education_binary,higher,0.0419537666625155,0.988,0.0,0.0419277291095178,0.0048884390507658,0.0815832251267034,0.0,4.336808689942018e-19,0.007624340461552241,500.0,500.0,ok,,phi_012_stable,0.12,weighted_phi
2023_48_education_binary_higher,DEPRESSIVE_DISORDER,ARTHRITIS,0.11398951740683488,,,6724,1332,1864,511,13513598.10699762,1973.0817978697273,0.19384957149565116,0.21343518341151418,0.05983746239252228,survey_bootstrap_stable_phi,design_bootstrap,True,,,False,education_binary,higher,0.113989517406835,1.0,0.396,0.112961844114046,0.0721599976089574,0.159798361863548,0.02187162545399861,0.35408170350275736,0.4395041593132456,500.0,500.0,ok,,phi_012_stable,0.12,weighted_phi
2023_48_education_binary_higher,DEPRESSIVE_DISORDER,DIABETES,0.06225446084846475,,,6737,1335,874,204,13527908.90015706,1976.669261236714,0.19363838529487185,0.11007518270829239,0.029014102800046994,survey_bootstrap_stable_phi,design_bootstrap,True,,,False,education_binary,higher,0.0622544608484648,0.998,0.006,0.0621227795383518,0.0183133696301579,0.109377977038097,0.0034536936748935914,0.0020425962719602363,0.01749025210405338,500.0,500.0,ok,,phi_012_stable,0.12,weighted_phi
2023_48_education_binary_higher,KIDNEY_DISEASE,ARTHRITIS,0.15328920972717144,,,6736,310,1868,198,13511677.854271406,1998.233465844775,0.028744721070577243,0.21476299391167317,0.01669140573052307,survey_bootstrap_stable_phi,design_bootstrap,True,,,True,education_binary,higher,0.153289209727171,1.0,0.948,0.152038851750541,0.114487709383686,0.196785183992382,0.009929350431926557,0.9248988560621544,0.9642697348842947,500.0,500.0,ok,,phi_012_stable,0.12,weighted_phi
