graph_id,geography_code,ses_category,rule_id,threshold,edge_count,density,component_count,isolate_count,transitivity
2024_25_education_binary_higher,25,higher,phi_010,0.1,16,0.35555555555555557,2,1,0.5454545454545454
2024_25_education_binary_higher,25,higher,phi_012,0.12,12,0.26666666666666666,3,2,0.42857142857142855
2024_25_education_binary_higher,25,higher,phi_014,0.14,8,0.17777777777777778,3,2,0.16666666666666666
2024_25_education_binary_lower,25,lower,phi_010,0.1,26,0.5777777777777777,1,0,0.6666666666666666
2024_25_education_binary_lower,25,lower,phi_012,0.12,21,0.4666666666666667,1,0,0.5357142857142857
2024_25_education_binary_lower,25,lower,phi_014,0.14,16,0.35555555555555557,1,0,0.3829787234042553
2024_26_education_binary_higher,26,higher,phi_010,0.1,21,0.4666666666666667,1,0,0.5581395348837209
2024_26_education_binary_higher,26,higher,phi_012,0.12,17,0.37777777777777777,1,0,0.6
2024_26_education_binary_higher,26,higher,phi_014,0.14,13,0.28888888888888886,1,0,0.42857142857142855
2024_26_education_binary_lower,26,lower,phi_010,0.1,23,0.5111111111111111,1,0,0.6116504854368932
2024_26_education_binary_lower,26,lower,phi_012,0.12,20,0.4444444444444444,1,0,0.5131578947368421
2024_26_education_binary_lower,26,lower,phi_014,0.14,17,0.37777777777777777,1,0,0.47368421052631576
2024_27_education_binary_higher,27,higher,phi_010,0.1,17,0.37777777777777777,1,0,0.46551724137931033
2024_27_education_binary_higher,27,higher,phi_012,0.12,14,0.3111111111111111,1,0,0.4864864864864865
2024_27_education_binary_higher,27,higher,phi_014,0.14,9,0.2,3,2,0.35294117647058826
2024_27_education_binary_lower,27,lower,phi_010,0.1,24,0.5333333333333333,1,0,0.6055045871559633
2024_27_education_binary_lower,27,lower,phi_012,0.12,19,0.4222222222222222,1,0,0.5142857142857142
2024_27_education_binary_lower,27,lower,phi_014,0.14,13,0.28888888888888886,1,0,0.4
2024_29_education_binary_higher,29,higher,phi_010,0.1,20,0.4444444444444444,1,0,0.525
2024_29_education_binary_higher,29,higher,phi_012,0.12,18,0.4,1,0,0.5238095238095238
2024_29_education_binary_higher,29,higher,phi_014,0.14,14,0.3111111111111111,1,0,0.40540540540540543
2024_29_education_binary_lower,29,lower,phi_010,0.1,25,0.5555555555555556,1,0,0.6101694915254238
2024_29_education_binary_lower,29,lower,phi_012,0.12,20,0.4444444444444444,1,0,0.5675675675675675
2024_29_education_binary_lower,29,lower,phi_014,0.14,14,0.3111111111111111,1,0,0.5
2024_30_education_binary_higher,30,higher,phi_010,0.1,20,0.4444444444444444,1,0,0.5454545454545454
2024_30_education_binary_higher,30,higher,phi_012,0.12,13,0.28888888888888886,1,0,0.4
2024_30_education_binary_higher,30,higher,phi_014,0.14,8,0.17777777777777778,3,2,0.0
2024_30_education_binary_lower,30,lower,phi_010,0.1,30,0.6666666666666666,1,0,0.7988165680473372
2024_30_education_binary_lower,30,lower,phi_012,0.12,26,0.5777777777777777,1,0,0.703125
2024_30_education_binary_lower,30,lower,phi_014,0.14,20,0.4444444444444444,1,0,0.7012987012987013
2024_31_education_binary_higher,31,higher,phi_010,0.1,20,0.4444444444444444,2,1,0.7586206896551724
2024_31_education_binary_higher,31,higher,phi_012,0.12,16,0.35555555555555557,2,1,0.6545454545454545
2024_31_education_binary_higher,31,higher,phi_014,0.14,12,0.26666666666666666,3,1,0.6206896551724138
2024_31_education_binary_lower,31,lower,phi_010,0.1,27,0.6,1,0,0.6906474820143885
2024_31_education_binary_lower,31,lower,phi_012,0.12,25,0.5555555555555556,1,0,0.7
2024_31_education_binary_lower,31,lower,phi_014,0.14,21,0.4666666666666667,1,0,0.6352941176470588
2024_33_education_binary_higher,33,higher,phi_010,0.1,18,0.4,1,0,0.5538461538461539
2024_33_education_binary_higher,33,higher,phi_012,0.12,14,0.3111111111111111,3,2,0.574468085106383
2024_33_education_binary_higher,33,higher,phi_014,0.14,9,0.2,3,2,0.1875
2024_33_education_binary_lower,33,lower,phi_010,0.1,23,0.5111111111111111,1,0,0.6494845360824743
2024_33_education_binary_lower,33,lower,phi_012,0.12,16,0.35555555555555557,1,0,0.4666666666666667
2024_33_education_binary_lower,33,lower,phi_014,0.14,10,0.2222222222222222,2,1,0.35294117647058826
2024_34_education_binary_higher,34,higher,phi_010,0.1,19,0.4222222222222222,1,0,0.5217391304347826
2024_34_education_binary_higher,34,higher,phi_012,0.12,10,0.2222222222222222,2,1,0.3333333333333333
2024_34_education_binary_higher,34,higher,phi_014,0.14,9,0.2,2,1,0.21428571428571427
2024_34_education_binary_lower,34,lower,phi_010,0.1,21,0.4666666666666667,1,0,0.6071428571428571
2024_34_education_binary_lower,34,lower,phi_012,0.12,16,0.35555555555555557,1,0,0.5106382978723404
2024_34_education_binary_lower,34,lower,phi_014,0.14,13,0.28888888888888886,1,0,0.4838709677419355
2024_35_education_binary_higher,35,higher,phi_010,0.1,19,0.4222222222222222,1,0,0.5373134328358209
2024_35_education_binary_higher,35,higher,phi_012,0.12,14,0.3111111111111111,1,0,0.4166666666666667
2024_35_education_binary_higher,35,higher,phi_014,0.14,10,0.2222222222222222,2,1,0.3157894736842105
2024_35_education_binary_lower,35,lower,phi_010,0.1,21,0.4666666666666667,1,0,0.6551724137931034
2024_35_education_binary_lower,35,lower,phi_012,0.12,17,0.37777777777777777,1,0,0.47368421052631576
2024_35_education_binary_lower,35,lower,phi_014,0.14,14,0.3111111111111111,1,0,0.39473684210526316
2024_36_education_binary_higher,36,higher,phi_010,0.1,19,0.4222222222222222,1,0,0.5373134328358209
2024_36_education_binary_higher,36,higher,phi_012,0.12,14,0.3111111111111111,1,0,0.4864864864864865
2024_36_education_binary_higher,36,higher,phi_014,0.14,12,0.26666666666666666,1,0,0.36
2024_36_education_binary_lower,36,lower,phi_010,0.1,21,0.4666666666666667,1,0,0.5517241379310345
2024_36_education_binary_lower,36,lower,phi_012,0.12,18,0.4,1,0,0.5238095238095238
2024_36_education_binary_lower,36,lower,phi_014,0.14,14,0.3111111111111111,1,0,0.42857142857142855
2024_37_education_binary_higher,37,higher,phi_010,0.1,21,0.4666666666666667,1,0,0.5294117647058824
2024_37_education_binary_higher,37,higher,phi_012,0.12,18,0.4,1,0,0.43548387096774194
2024_37_education_binary_higher,37,higher,phi_014,0.14,12,0.26666666666666666,1,0,0.41379310344827586
2024_37_education_binary_lower,37,lower,phi_010,0.1,27,0.6,1,0,0.7058823529411765
2024_37_education_binary_lower,37,lower,phi_012,0.12,20,0.4444444444444444,1,0,0.43478260869565216
2024_37_education_binary_lower,37,lower,phi_014,0.14,16,0.35555555555555557,1,0,0.3488372093023256
2024_38_education_binary_higher,38,higher,phi_010,0.1,17,0.37777777777777777,1,0,0.5172413793103449
2024_38_education_binary_higher,38,higher,phi_012,0.12,14,0.3111111111111111,1,0,0.5
2024_38_education_binary_higher,38,higher,phi_014,0.14,12,0.26666666666666666,2,0,0.5
2024_38_education_binary_lower,38,lower,phi_010,0.1,30,0.6666666666666666,1,0,0.7894736842105263
2024_38_education_binary_lower,38,lower,phi_012,0.12,26,0.5777777777777777,1,0,0.75
2024_38_education_binary_lower,38,lower,phi_014,0.14,21,0.4666666666666667,1,0,0.6896551724137931
2024_39_education_binary_higher,39,higher,phi_010,0.1,22,0.4888888888888889,1,0,0.6195652173913043
2024_39_education_binary_higher,39,higher,phi_012,0.12,19,0.4222222222222222,1,0,0.5909090909090909
2024_39_education_binary_higher,39,higher,phi_014,0.14,12,0.26666666666666666,1,0,0.2727272727272727
2024_39_education_binary_lower,39,lower,phi_010,0.1,30,0.6666666666666666,1,0,0.75
2024_39_education_binary_lower,39,lower,phi_012,0.12,27,0.6,1,0,0.7446808510638298
2024_39_education_binary_lower,39,lower,phi_014,0.14,20,0.4444444444444444,1,0,0.5921052631578947
2024_40_education_binary_higher,40,higher,phi_010,0.1,24,0.5333333333333333,1,0,0.6
2024_40_education_binary_higher,40,higher,phi_012,0.12,21,0.4666666666666667,1,0,0.5714285714285714
2024_40_education_binary_higher,40,higher,phi_014,0.14,14,0.3111111111111111,2,0,0.5675675675675675
2024_40_education_binary_lower,40,lower,phi_010,0.1,26,0.5777777777777777,1,0,0.65625
2024_40_education_binary_lower,40,lower,phi_012,0.12,21,0.4666666666666667,1,0,0.5454545454545454
2024_40_education_binary_lower,40,lower,phi_014,0.14,17,0.37777777777777777,1,0,0.5555555555555556
2024_41_education_binary_higher,41,higher,phi_010,0.1,25,0.5555555555555556,1,0,0.6666666666666666
2024_41_education_binary_higher,41,higher,phi_012,0.12,18,0.4,1,0,0.55
2024_41_education_binary_higher,41,higher,phi_014,0.14,13,0.28888888888888886,1,0,0.4838709677419355
2024_41_education_binary_lower,41,lower,phi_010,0.1,25,0.5555555555555556,1,0,0.7804878048780488
2024_41_education_binary_lower,41,lower,phi_012,0.12,23,0.5111111111111111,1,0,0.6923076923076923
2024_41_education_binary_lower,41,lower,phi_014,0.14,20,0.4444444444444444,1,0,0.5769230769230769
2024_42_education_binary_higher,42,higher,phi_010,0.1,26,0.5777777777777777,1,0,0.7557251908396947
2024_42_education_binary_higher,42,higher,phi_012,0.12,20,0.4444444444444444,1,0,0.6
2024_42_education_binary_higher,42,higher,phi_014,0.14,18,0.4,1,0,0.6290322580645161
2024_42_education_binary_lower,42,lower,phi_010,0.1,18,0.4,1,0,0.639344262295082
2024_42_education_binary_lower,42,lower,phi_012,0.12,18,0.4,1,0,0.639344262295082
2024_42_education_binary_lower,42,lower,phi_014,0.14,13,0.28888888888888886,3,1,0.6666666666666666
2024_44_education_binary_higher,44,higher,phi_010,0.1,20,0.4444444444444444,2,1,0.6506024096385542
2024_44_education_binary_higher,44,higher,phi_012,0.12,16,0.35555555555555557,2,1,0.6
2024_44_education_binary_higher,44,higher,phi_014,0.14,14,0.3111111111111111,3,2,0.6136363636363636
2024_44_education_binary_lower,44,lower,phi_010,0.1,23,0.5111111111111111,1,0,0.57
2024_44_education_binary_lower,44,lower,phi_012,0.12,19,0.4222222222222222,1,0,0.4925373134328358
2024_44_education_binary_lower,44,lower,phi_014,0.14,13,0.28888888888888886,1,0,0.35294117647058826
2024_45_education_binary_higher,45,higher,phi_010,0.1,25,0.5555555555555556,1,0,0.6554621848739496
2024_45_education_binary_higher,45,higher,phi_012,0.12,18,0.4,1,0,0.5625
2024_45_education_binary_higher,45,higher,phi_014,0.14,16,0.35555555555555557,2,1,0.5192307692307693
2024_45_education_binary_lower,45,lower,phi_010,0.1,29,0.6444444444444445,1,0,0.7169811320754716
2024_45_education_binary_lower,45,lower,phi_012,0.12,25,0.5555555555555556,1,0,0.6610169491525424
2024_45_education_binary_lower,45,lower,phi_014,0.14,23,0.5111111111111111,1,0,0.6176470588235294
2024_46_education_binary_higher,46,higher,phi_010,0.1,23,0.5111111111111111,1,0,0.6486486486486487
2024_46_education_binary_higher,46,higher,phi_012,0.12,19,0.4222222222222222,1,0,0.56
2024_46_education_binary_higher,46,higher,phi_014,0.14,12,0.26666666666666666,2,0,0.4444444444444444
2024_46_education_binary_lower,46,lower,phi_010,0.1,20,0.4444444444444444,1,0,0.6338028169014085
2024_46_education_binary_lower,46,lower,phi_012,0.12,16,0.35555555555555557,1,0,0.5714285714285714
2024_46_education_binary_lower,46,lower,phi_014,0.14,13,0.28888888888888886,2,1,0.41379310344827586
2024_48_education_binary_higher,48,higher,phi_010,0.1,24,0.5333333333333333,1,0,0.6
2024_48_education_binary_higher,48,higher,phi_012,0.12,20,0.4444444444444444,1,0,0.5526315789473685
2024_48_education_binary_higher,48,higher,phi_014,0.14,15,0.3333333333333333,1,0,0.45652173913043476
2024_48_education_binary_lower,48,lower,phi_010,0.1,22,0.4888888888888889,1,0,0.5604395604395604
2024_48_education_binary_lower,48,lower,phi_012,0.12,17,0.37777777777777777,1,0,0.5263157894736842
2024_48_education_binary_lower,48,lower,phi_014,0.14,16,0.35555555555555557,1,0,0.4897959183673469
2024_49_education_binary_higher,49,higher,phi_010,0.1,21,0.4666666666666667,1,0,0.5930232558139535
2024_49_education_binary_higher,49,higher,phi_012,0.12,14,0.3111111111111111,1,0,0.4864864864864865
2024_49_education_binary_higher,49,higher,phi_014,0.14,12,0.26666666666666666,2,1,0.5
2024_49_education_binary_lower,49,lower,phi_010,0.1,24,0.5333333333333333,1,0,0.6160714285714286
2024_49_education_binary_lower,49,lower,phi_012,0.12,16,0.35555555555555557,1,0,0.36
2024_49_education_binary_lower,49,lower,phi_014,0.14,12,0.26666666666666666,2,0,0.46153846153846156
2024_50_education_binary_higher,50,higher,phi_010,0.1,19,0.4222222222222222,1,0,0.6338028169014085
2024_50_education_binary_higher,50,higher,phi_012,0.12,16,0.35555555555555557,1,0,0.5625
2024_50_education_binary_higher,50,higher,phi_014,0.14,11,0.24444444444444444,2,1,0.375
2024_50_education_binary_lower,50,lower,phi_010,0.1,27,0.6,1,0,0.6956521739130435
2024_50_education_binary_lower,50,lower,phi_012,0.12,21,0.4666666666666667,1,0,0.6071428571428571
2024_50_education_binary_lower,50,lower,phi_014,0.14,15,0.3333333333333333,1,0,0.42857142857142855
2024_51_education_binary_higher,51,higher,phi_010,0.1,21,0.4666666666666667,1,0,0.5555555555555556
2024_51_education_binary_higher,51,higher,phi_012,0.12,17,0.37777777777777777,1,0,0.5172413793103449
2024_51_education_binary_higher,51,higher,phi_014,0.14,14,0.3111111111111111,1,0,0.4864864864864865
2024_51_education_binary_lower,51,lower,phi_010,0.1,23,0.5111111111111111,1,0,0.6407766990291263
2024_51_education_binary_lower,51,lower,phi_012,0.12,21,0.4666666666666667,1,0,0.5930232558139535
2024_51_education_binary_lower,51,lower,phi_014,0.14,15,0.3333333333333333,1,0,0.4772727272727273
2024_53_education_binary_higher,53,higher,phi_010,0.1,18,0.4,1,0,0.5
2024_53_education_binary_higher,53,higher,phi_012,0.12,14,0.3111111111111111,1,0,0.4864864864864865
2024_53_education_binary_higher,53,higher,phi_014,0.14,11,0.24444444444444444,1,0,0.15789473684210525
2024_53_education_binary_lower,53,lower,phi_010,0.1,23,0.5111111111111111,1,0,0.5825242718446602
2024_53_education_binary_lower,53,lower,phi_012,0.12,17,0.37777777777777777,1,0,0.4528301886792453
2024_53_education_binary_lower,53,lower,phi_014,0.14,13,0.28888888888888886,1,0,0.2903225806451613
2024_54_education_binary_higher,54,higher,phi_010,0.1,21,0.4666666666666667,1,0,0.5185185185185185
2024_54_education_binary_higher,54,higher,phi_012,0.12,15,0.3333333333333333,1,0,0.5454545454545454
2024_54_education_binary_higher,54,higher,phi_014,0.14,14,0.3111111111111111,1,0,0.47368421052631576
2024_54_education_binary_lower,54,lower,phi_010,0.1,28,0.6222222222222222,1,0,0.7191780821917808
2024_54_education_binary_lower,54,lower,phi_012,0.12,20,0.4444444444444444,1,0,0.56
2024_54_education_binary_lower,54,lower,phi_014,0.14,14,0.3111111111111111,2,0,0.5833333333333334
2024_55_education_binary_higher,55,higher,phi_010,0.1,22,0.4888888888888889,1,0,0.6263736263736264
2024_55_education_binary_higher,55,higher,phi_012,0.12,15,0.3333333333333333,1,0,0.5
2024_55_education_binary_higher,55,higher,phi_014,0.14,12,0.26666666666666666,1,0,0.36
2024_55_education_binary_lower,55,lower,phi_010,0.1,28,0.6222222222222222,1,0,0.7397260273972602
2024_55_education_binary_lower,55,lower,phi_012,0.12,20,0.4444444444444444,1,0,0.5384615384615384
2024_55_education_binary_lower,55,lower,phi_014,0.14,11,0.24444444444444444,2,1,0.391304347826087
