graph_id,year,geography_code,geography,ses_category,n_unweighted,weighted_population_estimate,kish_effective_n,node_count,edge_count,density,component_count,isolate_count,mean_degree,maximum_degree,transitivity,population_graph_id,ses_definition,rule_id
2024_13_education_binary_higher__phi_010,2024,13,Georgia,higher,4805,5204231.645053592,2222.9533787684472,10,23,0.5111111111111111,1,0,4.6,8,0.6363636363636364,2024_13_education_binary_higher,education_binary,phi_010
2024_13_education_binary_higher__phi_012,2024,13,Georgia,higher,4805,5204231.645053592,2222.9533787684472,10,18,0.4,1,0,3.6,7,0.65,2024_13_education_binary_higher,education_binary,phi_012
2024_13_education_binary_higher__phi_012_stable,2024,13,Georgia,higher,4805,5204231.645053592,2222.9533787684472,10,13,0.28888888888888886,2,1,2.6,5,0.5294117647058824,2024_13_education_binary_higher,education_binary,phi_012_stable
2024_13_education_binary_higher__phi_014,2024,13,Georgia,higher,4805,5204231.645053592,2222.9533787684472,10,15,0.3333333333333333,1,0,3.0,6,0.5121951219512195,2024_13_education_binary_higher,education_binary,phi_014
2024_13_education_binary_lower__phi_010,2024,13,Georgia,lower,2418,3484176.061540573,1060.5229114708488,10,29,0.6444444444444445,1,0,5.8,9,0.6967741935483871,2024_13_education_binary_lower,education_binary,phi_010
2024_13_education_binary_lower__phi_012,2024,13,Georgia,lower,2418,3484176.061540573,1060.5229114708488,10,26,0.5777777777777777,1,0,5.2,9,0.624,2024_13_education_binary_lower,education_binary,phi_012
2024_13_education_binary_lower__phi_012_stable,2024,13,Georgia,lower,2418,3484176.061540573,1060.5229114708488,10,17,0.37777777777777777,1,0,3.4,6,0.5357142857142857,2024_13_education_binary_lower,education_binary,phi_012_stable
2024_13_education_binary_lower__phi_014,2024,13,Georgia,lower,2418,3484176.061540573,1060.5229114708488,10,19,0.4222222222222222,1,0,3.8,6,0.6,2024_13_education_binary_lower,education_binary,phi_014
2024_15_education_binary_higher__phi_010,2024,15,Hawaii,higher,4732,731598.5682446372,2245.814417034935,10,15,0.3333333333333333,1,0,3.0,6,0.4883720930232558,2024_15_education_binary_higher,education_binary,phi_010
2024_15_education_binary_higher__phi_012,2024,15,Hawaii,higher,4732,731598.5682446372,2245.814417034935,10,11,0.24444444444444444,2,1,2.2,5,0.375,2024_15_education_binary_higher,education_binary,phi_012
2024_15_education_binary_higher__phi_012_stable,2024,15,Hawaii,higher,4732,731598.5682446372,2245.814417034935,10,5,0.1111111111111111,5,1,1.0,2,0.0,2024_15_education_binary_higher,education_binary,phi_012_stable
2024_15_education_binary_higher__phi_014,2024,15,Hawaii,higher,4732,731598.5682446372,2245.814417034935,10,6,0.13333333333333333,4,1,1.2,2,0.0,2024_15_education_binary_higher,education_binary,phi_014
2024_15_education_binary_lower__phi_010,2024,15,Hawaii,lower,1885,402229.0328515718,960.574840331935,10,22,0.4888888888888889,1,0,4.4,7,0.5581395348837209,2024_15_education_binary_lower,education_binary,phi_010
2024_15_education_binary_lower__phi_012,2024,15,Hawaii,lower,1885,402229.0328515718,960.574840331935,10,19,0.4222222222222222,1,0,3.8,7,0.5454545454545454,2024_15_education_binary_lower,education_binary,phi_012
2024_15_education_binary_lower__phi_012_stable,2024,15,Hawaii,lower,1885,402229.0328515718,960.574840331935,10,7,0.15555555555555556,3,1,1.4,3,0.0,2024_15_education_binary_lower,education_binary,phi_012_stable
2024_15_education_binary_lower__phi_014,2024,15,Hawaii,lower,1885,402229.0328515718,960.574840331935,10,12,0.26666666666666666,1,0,2.4,5,0.25,2024_15_education_binary_lower,education_binary,phi_014
2024_16_education_binary_higher__phi_010,2024,16,Idaho,higher,2693,977261.9832890714,1441.908508084135,10,21,0.4666666666666667,1,0,4.2,8,0.5294117647058824,2024_16_education_binary_higher,education_binary,phi_010
2024_16_education_binary_higher__phi_012,2024,16,Idaho,higher,2693,977261.9832890714,1441.908508084135,10,17,0.37777777777777777,1,0,3.4,7,0.5172413793103449,2024_16_education_binary_higher,education_binary,phi_012
2024_16_education_binary_higher__phi_012_stable,2024,16,Idaho,higher,2693,977261.9832890714,1441.908508084135,10,12,0.26666666666666666,1,0,2.4,6,0.3333333333333333,2024_16_education_binary_higher,education_binary,phi_012_stable
2024_16_education_binary_higher__phi_014,2024,16,Idaho,higher,2693,977261.9832890714,1441.908508084135,10,15,0.3333333333333333,1,0,3.0,6,0.4090909090909091,2024_16_education_binary_higher,education_binary,phi_014
2024_16_education_binary_lower__phi_010,2024,16,Idaho,lower,1637,566753.3904621894,846.2559953542789,10,27,0.6,1,0,5.4,9,0.656934306569343,2024_16_education_binary_lower,education_binary,phi_010
2024_16_education_binary_lower__phi_012,2024,16,Idaho,lower,1637,566753.3904621894,846.2559953542789,10,24,0.5333333333333333,1,0,4.8,8,0.6226415094339622,2024_16_education_binary_lower,education_binary,phi_012
2024_16_education_binary_lower__phi_012_stable,2024,16,Idaho,lower,1637,566753.3904621894,846.2559953542789,10,8,0.17777777777777778,3,1,1.6,4,0.3,2024_16_education_binary_lower,education_binary,phi_012_stable
2024_16_education_binary_lower__phi_014,2024,16,Idaho,lower,1637,566753.3904621894,846.2559953542789,10,18,0.4,1,0,3.6,6,0.5084745762711864,2024_16_education_binary_lower,education_binary,phi_014
