graph_id,source_condition,target_condition,association,standard_error,p_value,n_complete,source_cases,target_cases,cooccurring_cases,weighted_n,kish_effective_n,weighted_source_prevalence,weighted_target_prevalence,weighted_joint_prevalence,estimator,inference_scope,pair_eligible,exclusion_reason,q_value,edge_present
2024_26_higher,SKIN_CANCER,COPD,0.06589249708407806,,,7818,736,640,86,4882655.397800981,3943.577247040808,0.060030374383617406,0.06340506670626943,0.00762054252123225,weighted_phi,descriptive,True,,,False
2024_26_higher,SKIN_CANCER,DEPRESSIVE_DISORDER,-0.012560888135860628,,,7824,739,1921,162,4880389.96865695,3958.769993876288,0.06016360332219325,0.252816750331635,0.013912201717554019,weighted_phi,descriptive,True,,,False
2024_26_higher,SKIN_CANCER,KIDNEY_DISEASE,0.052680329285409035,,,7821,737,484,83,4887251.6873356635,3946.765096938059,0.05989084847387529,0.045325541760556955,0.005314846544625499,weighted_phi,descriptive,True,,,False
2024_26_higher,SKIN_CANCER,ARTHRITIS,0.15438394954359894,,,7818,737,3048,441,4886538.146571776,3944.4696305770203,0.06002779995475716,0.30422499348173077,0.03513400194558362,weighted_phi,descriptive,True,,,True
2024_26_higher,SKIN_CANCER,DIABETES,0.06149749945516253,,,7835,738,1187,148,4895149.8615865065,3954.655319672441,0.05985935332083085,0.1269725322940188,0.012457724324887103,weighted_phi,descriptive,True,,,False
2024_26_higher,OTHER_CANCER,COPD,0.09047843166722645,,,7834,1110,643,152,4887835.539408362,3949.2357837365294,0.0978735740051473,0.06366402164477487,0.012795113120474311,weighted_phi,descriptive,True,,,True
2024_26_higher,OTHER_CANCER,DEPRESSIVE_DISORDER,-0.00203837043026634,,,7836,1112,1925,260,4883854.4868798,3962.420398557334,0.09809712852586103,0.2526474187831954,0.024520528339719926,weighted_phi,descriptive,True,,,False
2024_26_higher,OTHER_CANCER,KIDNEY_DISEASE,0.10765672268070273,,,7835,1108,485,131,4890709.60643471,3950.6137106134715,0.09773817703850456,0.044992130888766926,0.011024362617440726,weighted_phi,descriptive,True,,,True
2024_26_higher,OTHER_CANCER,ARTHRITIS,0.1738622646931886,,,7829,1112,3051,632,4887270.084014795,3945.9648584849824,0.09775676665430674,0.30389752759127453,0.053456788559235593,weighted_phi,descriptive,True,,,True
2024_26_higher,OTHER_CANCER,DIABETES,0.08891478934230011,,,7848,1114,1187,235,4898352.17242248,3958.1343035474147,0.0978808517924134,0.1263854212185469,0.021150080633657888,weighted_phi,descriptive,True,,,True
2024_26_higher,COPD,DEPRESSIVE_DISORDER,0.09508710421749633,,,7836,644,1924,260,4883558.398271473,3963.158685818699,0.06389413200096815,0.25304070202240264,0.026277981249949966,weighted_phi,descriptive,True,,,True
2024_26_higher,COPD,KIDNEY_DISEASE,0.13239026786906025,,,7835,646,485,108,4890668.603580351,3951.589602137682,0.0639244982335787,0.04539039547380764,0.009642802268060552,weighted_phi,descriptive,True,,,True
2024_26_higher,COPD,ARTHRITIS,0.18761569400371542,,,7829,642,3048,442,4886973.9954064675,3946.693683130373,0.06309899662295711,0.30358401457329875,0.040130802706474684,weighted_phi,descriptive,True,,,True
2024_26_higher,COPD,DIABETES,0.09884339656766304,,,7847,645,1189,171,4897587.108354505,3958.2502980188756,0.06380382393766387,0.12695200206230958,0.01614256418877469,weighted_phi,descriptive,True,,,True
2024_26_higher,DEPRESSIVE_DISORDER,KIDNEY_DISEASE,0.023211715234159252,,,7838,1925,486,151,4887645.9565736875,3965.696559017063,0.2528534508188294,0.0452972910951561,0.013551621210458956,weighted_phi,descriptive,True,,,False
2024_26_higher,DEPRESSIVE_DISORDER,ARTHRITIS,0.1066720349409544,,,7834,1927,3053,913,4884931.017876493,3962.0187539537537,0.2531041699811625,0.3049096656674073,0.09852580496618522,weighted_phi,descriptive,True,,,True
2024_26_higher,DEPRESSIVE_DISORDER,DIABETES,0.02109702282151599,,,7852,1931,1188,331,4895544.1308245305,3973.6009128720093,0.25309362397071694,0.12688465786271289,0.03516675707805502,weighted_phi,descriptive,True,,,False
2024_26_higher,KIDNEY_DISEASE,ARTHRITIS,0.13079579414189485,,,7833,484,3055,327,4891946.460988678,3950.3225440485335,0.045185465650736945,0.3042947728243297,0.02624977402842319,weighted_phi,descriptive,True,,,True
2024_26_higher,KIDNEY_DISEASE,DIABETES,0.18250167336942424,,,7852,488,1189,202,4903028.549396362,3962.492934189388,0.04543508761934648,0.1270500782748622,0.018430015897384702,weighted_phi,descriptive,True,,,True
2024_26_higher,ARTHRITIS,DIABETES,0.19453511874235518,,,7847,3063,1189,695,4899844.635239521,3958.2125874465055,0.3049709823960548,0.12693823466063606,0.0685283459147023,weighted_phi,descriptive,True,,,True
2024_36_lower,ISCHEMIC_HEART_DISEASE,STROKE,0.2782866526994174,,,13972,1391,632,253,5609244.867014417,5529.18633428405,0.07705183692877793,0.03504338962315145,0.01634691512005608,weighted_phi,descriptive,True,,,True
2024_36_lower,ISCHEMIC_HEART_DISEASE,CURRENT_ASTHMA,0.0770688239763482,,,13887,1387,1730,276,5573094.447791204,5499.781780611426,0.07697095879144934,0.10577947942861339,0.01445985004549309,weighted_phi,descriptive,True,,,False
2024_36_lower,ISCHEMIC_HEART_DISEASE,SKIN_CANCER,0.0913855621984247,,,13916,1380,552,114,5604926.15001254,5516.057082615788,0.07664799420643212,0.025130508519486564,0.005731473372562677,weighted_phi,descriptive,True,,,True
2024_36_lower,ISCHEMIC_HEART_DISEASE,OTHER_CANCER,0.0744018687962145,,,13938,1384,1186,228,5603264.921534736,5517.722052337373,0.07663316775456273,0.0583286504478191,0.009108328619511583,weighted_phi,descriptive,True,,,False
2024_36_lower,ISCHEMIC_HEART_DISEASE,COPD,0.19910291918445225,,,13937,1388,1535,414,5593489.345729789,5523.292840557164,0.07692826288206839,0.0683532424468947,0.018647153607088754,weighted_phi,descriptive,True,,,True
2024_36_lower,ISCHEMIC_HEART_DISEASE,DEPRESSIVE_DISORDER,0.06753381536663233,,,13940,1390,2545,343,5588249.417451563,5531.411829234486,0.07736795589369229,0.15322374960493512,0.01835386202898032,weighted_phi,descriptive,True,,,False
