null_replicate,graph_index,target_swaps,accepted_swaps,changed
9,13,80,80,True
9,14,100,100,True
9,15,100,100,True
9,16,100,100,True
9,17,120,120,True
9,18,130,130,True
9,19,170,170,True
9,20,50,50,True
9,21,70,70,True
9,22,120,120,True
9,23,80,80,True
9,24,120,120,True
9,25,100,100,True
9,26,130,130,True
9,27,140,140,True
9,28,100,100,True
9,29,120,120,True
9,30,120,120,True
9,31,130,130,True
9,32,130,130,True
9,33,210,210,True
9,34,100,100,True
9,35,130,130,True
9,36,120,120,True
9,37,170,170,True
9,38,80,80,True
9,39,120,120,True
9,40,80,80,True
9,41,100,100,True
9,42,130,130,True
9,43,170,170,True
9,44,90,90,True
9,45,110,110,True
9,46,130,130,True
9,47,110,110,True
9,48,40,40,True
9,49,130,130,True
9,50,110,110,True
9,51,150,150,True
9,52,80,80,True
9,53,70,70,True
9,54,70,70,True
9,55,90,90,True
9,56,20,20,False
9,57,90,90,True
9,58,130,130,True
9,59,150,150,True
9,60,90,90,True
9,61,110,110,True
9,62,100,100,True
9,63,150,150,True
9,64,100,100,True
9,65,160,160,True
9,66,130,130,True
9,67,140,140,True
9,68,110,110,True
9,69,130,130,True
9,70,130,130,True
9,71,80,80,True
9,72,100,100,True
9,73,90,90,True
9,74,140,140,True
9,75,190,190,True
9,76,50,50,True
9,77,60,60,True
9,78,130,130,True
9,79,130,130,True
9,80,110,110,True
9,81,110,110,True
9,82,100,100,True
9,83,120,120,True
9,84,140,140,True
9,85,120,120,True
9,86,110,110,True
9,87,120,120,True
9,88,130,130,True
9,89,140,140,True
9,90,120,120,True
9,91,110,110,True
9,92,80,80,True
9,93,160,160,True
10,0,110,110,True
10,1,130,130,True
10,2,70,70,True
10,3,70,70,True
10,4,90,90,True
10,5,90,90,True
10,6,170,170,True
10,7,150,150,True
10,8,150,150,True
10,9,70,70,True
10,10,120,120,True
10,11,100,100,True
10,12,70,70,True
10,13,80,80,True
10,14,100,100,True
10,15,100,100,True
10,16,100,100,True
10,17,120,120,True
10,18,130,130,True
10,19,170,170,True
10,20,50,50,True
10,21,70,70,True
10,22,120,120,True
10,23,80,80,True
10,24,120,120,True
10,25,100,100,True
10,26,130,130,True
10,27,140,140,True
10,28,100,100,True
10,29,120,120,True
10,30,120,120,True
10,31,130,130,True
10,32,130,130,True
10,33,210,210,True
10,34,100,100,True
10,35,130,130,True
10,36,120,120,True
10,37,170,170,True
10,38,80,80,True
10,39,120,120,True
10,40,80,80,True
10,41,100,100,True
10,42,130,130,True
10,43,170,170,True
10,44,90,90,True
10,45,110,110,True
10,46,130,130,True
10,47,110,110,True
10,48,40,40,True
10,49,130,130,True
10,50,110,110,True
10,51,150,150,True
10,52,80,80,True
10,53,70,70,True
10,54,70,70,True
10,55,90,90,True
10,56,20,20,True
10,57,90,90,True
10,58,130,130,True
10,59,150,150,True
10,60,90,90,True
10,61,110,110,True
10,62,100,100,True
10,63,150,150,True
10,64,100,100,True
10,65,160,160,True
10,66,130,130,True
10,67,140,140,True
10,68,110,110,True
10,69,130,130,True
10,70,130,130,True
10,71,80,80,True
10,72,100,100,True
10,73,90,90,True
10,74,140,140,True
10,75,190,190,True
10,76,50,50,True
10,77,60,60,True
10,78,130,130,True
10,79,130,130,True
10,80,110,110,True
10,81,110,110,True
10,82,100,100,True
10,83,120,120,True
10,84,140,140,True
10,85,120,120,True
10,86,110,110,True
10,87,120,120,True
10,88,130,130,True
10,89,140,140,True
10,90,120,120,True
10,91,110,110,True
10,92,80,80,True
10,93,160,160,True
11,0,110,110,True
11,1,130,130,True
11,2,70,70,True
11,3,70,70,True
11,4,90,90,True
11,5,90,90,True
11,6,170,170,True
11,7,150,150,True
11,8,150,150,True
11,9,70,70,True
11,10,120,120,True
11,11,100,100,True
11,12,70,70,True
11,13,80,80,True
11,14,100,100,True
11,15,100,100,True
11,16,100,100,True
11,17,120,120,True
11,18,130,130,True
11,19,170,170,True
11,20,50,50,True
11,21,70,70,True
11,22,120,120,True
11,23,80,80,True
11,24,120,120,True
11,25,100,100,True
11,26,130,130,True
11,27,140,140,True
11,28,100,100,True
11,29,120,120,True
11,30,120,120,True
11,31,130,130,True
11,32,130,130,True
11,33,210,210,True
