bootstrap_replicate,support_fraction,baseline_motif_count,replicate_discovered_motif_count,retained_baseline_motif_count,novel_motif_count,discovery_set_retention,discovery_set_jaccard
292,0.1,1098,1010,1010,0,0.9198542805100182,0.9198542805100182
292,0.2,542,532,532,0,0.981549815498155,0.981549815498155
292,0.3,342,325,325,0,0.9502923976608187,0.9502923976608187
293,0.1,1098,1049,1049,0,0.9553734061930783,0.9553734061930783
293,0.2,542,524,524,0,0.966789667896679,0.966789667896679
293,0.3,342,332,332,0,0.9707602339181286,0.9707602339181286
294,0.1,1098,994,994,0,0.9052823315118397,0.9052823315118397
294,0.2,542,492,492,0,0.9077490774907749,0.9077490774907749
294,0.3,342,294,294,0,0.8596491228070176,0.8596491228070176
295,0.1,1098,1013,1013,0,0.9225865209471766,0.9225865209471766
295,0.2,542,527,527,0,0.9723247232472325,0.9723247232472325
295,0.3,342,325,325,0,0.9502923976608187,0.9502923976608187
296,0.1,1098,1010,1010,0,0.9198542805100182,0.9198542805100182
296,0.2,542,509,509,0,0.9391143911439115,0.9391143911439115
296,0.3,342,319,319,0,0.9327485380116959,0.9327485380116959
297,0.1,1098,1046,1046,0,0.9526411657559198,0.9526411657559198
297,0.2,542,500,500,0,0.922509225092251,0.922509225092251
297,0.3,342,310,310,0,0.9064327485380117,0.9064327485380117
298,0.1,1098,1044,1044,0,0.9508196721311475,0.9508196721311475
298,0.2,542,522,522,0,0.9630996309963099,0.9630996309963099
298,0.3,342,311,311,0,0.9093567251461988,0.9093567251461988
299,0.1,1098,999,999,0,0.9098360655737705,0.9098360655737705
299,0.2,542,522,522,0,0.9630996309963099,0.9630996309963099
299,0.3,342,327,327,0,0.956140350877193,0.956140350877193
300,0.1,1098,960,960,0,0.8743169398907104,0.8743169398907104
300,0.2,542,507,507,0,0.9354243542435424,0.9354243542435424
300,0.3,342,289,289,0,0.8450292397660819,0.8450292397660819
301,0.1,1098,1036,1036,0,0.9435336976320583,0.9435336976320583
301,0.2,542,521,521,0,0.9612546125461254,0.9612546125461254
301,0.3,342,312,312,0,0.9122807017543859,0.9122807017543859
302,0.1,1098,1062,1062,0,0.9672131147540983,0.9672131147540983
302,0.2,542,535,535,0,0.9870848708487084,0.9870848708487084
302,0.3,342,335,335,0,0.97953216374269,0.97953216374269
303,0.1,1098,1024,1024,0,0.9326047358834244,0.9326047358834244
303,0.2,542,511,511,0,0.9428044280442804,0.9428044280442804
303,0.3,342,314,314,0,0.9181286549707602,0.9181286549707602
304,0.1,1098,1055,1055,0,0.9608378870673953,0.9608378870673953
304,0.2,542,526,526,0,0.9704797047970479,0.9704797047970479
304,0.3,342,330,330,0,0.9649122807017544,0.9649122807017544
305,0.1,1098,1054,1054,0,0.9599271402550091,0.9599271402550091
305,0.2,542,516,516,0,0.9520295202952029,0.9520295202952029
305,0.3,342,308,308,0,0.9005847953216374,0.9005847953216374
306,0.1,1098,1046,1046,0,0.9526411657559198,0.9526411657559198
306,0.2,542,522,522,0,0.9630996309963099,0.9630996309963099
306,0.3,342,329,329,0,0.9619883040935673,0.9619883040935673
307,0.1,1098,1066,1066,0,0.970856102003643,0.970856102003643
307,0.2,542,507,507,0,0.9354243542435424,0.9354243542435424
307,0.3,342,323,323,0,0.9444444444444444,0.9444444444444444
308,0.1,1098,959,959,0,0.8734061930783242,0.8734061930783242
308,0.2,542,508,508,0,0.9372693726937269,0.9372693726937269
308,0.3,342,313,313,0,0.9152046783625731,0.9152046783625731
309,0.1,1098,1021,1021,0,0.9298724954462659,0.9298724954462659
309,0.2,542,506,506,0,0.933579335793358,0.933579335793358
309,0.3,342,320,320,0,0.935672514619883,0.935672514619883
310,0.1,1098,1034,1034,0,0.941712204007286,0.941712204007286
310,0.2,542,512,512,0,0.9446494464944649,0.9446494464944649
310,0.3,342,306,306,0,0.8947368421052632,0.8947368421052632
311,0.1,1098,1025,1025,0,0.9335154826958105,0.9335154826958105
311,0.2,542,491,491,0,0.9059040590405905,0.9059040590405905
311,0.3,342,312,312,0,0.9122807017543859,0.9122807017543859
312,0.1,1098,1083,1083,0,0.9863387978142076,0.9863387978142076
312,0.2,542,499,499,0,0.9206642066420664,0.9206642066420664
312,0.3,342,300,300,0,0.8771929824561403,0.8771929824561403
313,0.1,1098,1004,1004,0,0.9143897996357013,0.9143897996357013
313,0.2,542,505,505,0,0.9317343173431735,0.9317343173431735
313,0.3,342,312,312,0,0.9122807017543859,0.9122807017543859
314,0.1,1098,1079,1079,0,0.982695810564663,0.982695810564663
314,0.2,542,542,542,0,1.0,1.0
314,0.3,342,330,330,0,0.9649122807017544,0.9649122807017544
315,0.1,1098,1005,1005,0,0.9153005464480874,0.9153005464480874
315,0.2,542,516,516,0,0.9520295202952029,0.9520295202952029
315,0.3,342,319,319,0,0.9327485380116959,0.9327485380116959
316,0.1,1098,956,956,0,0.8706739526411658,0.8706739526411658
316,0.2,542,513,513,0,0.9464944649446494,0.9464944649446494
316,0.3,342,322,322,0,0.9415204678362573,0.9415204678362573
317,0.1,1098,998,998,0,0.9089253187613844,0.9089253187613844
317,0.2,542,528,528,0,0.974169741697417,0.974169741697417
317,0.3,342,336,336,0,0.9824561403508771,0.9824561403508771
318,0.1,1098,1053,1053,0,0.9590163934426229,0.9590163934426229
318,0.2,542,541,541,0,0.9981549815498155,0.9981549815498155
318,0.3,342,337,337,0,0.9853801169590644,0.9853801169590644
319,0.1,1098,970,970,0,0.8834244080145719,0.8834244080145719
319,0.2,542,522,522,0,0.9630996309963099,0.9630996309963099
319,0.3,342,315,315,0,0.9210526315789473,0.9210526315789473
320,0.1,1098,1003,1003,0,0.9134790528233151,0.9134790528233151
320,0.2,542,500,500,0,0.922509225092251,0.922509225092251
320,0.3,342,318,318,0,0.9298245614035088,0.9298245614035088
321,0.1,1098,1002,1002,0,0.912568306010929,0.912568306010929
321,0.2,542,536,536,0,0.988929889298893,0.988929889298893
321,0.3,342,334,334,0,0.9766081871345029,0.9766081871345029
322,0.1,1098,1071,1071,0,0.9754098360655737,0.9754098360655737
322,0.2,542,515,515,0,0.9501845018450185,0.9501845018450185
322,0.3,342,331,331,0,0.9678362573099415,0.9678362573099415
323,0.1,1098,1023,1023,0,0.9316939890710383,0.9316939890710383
323,0.2,542,522,522,0,0.9630996309963099,0.9630996309963099
323,0.3,342,312,312,0,0.9122807017543859,0.9122807017543859
324,0.1,1098,1013,1013,0,0.9225865209471766,0.9225865209471766
324,0.2,542,517,517,0,0.9538745387453874,0.9538745387453874
324,0.3,342,317,317,0,0.9269005847953217,0.9269005847953217
325,0.1,1098,923,923,0,0.8406193078324226,0.8406193078324226
325,0.2,542,507,507,0,0.9354243542435424,0.9354243542435424
325,0.3,342,316,316,0,0.9239766081871345,0.9239766081871345
326,0.1,1098,993,993,0,0.9043715846994536,0.9043715846994536
326,0.2,542,503,503,0,0.9280442804428044,0.9280442804428044
326,0.3,342,309,309,0,0.9035087719298246,0.9035087719298246
327,0.1,1098,984,984,0,0.8961748633879781,0.8961748633879781
327,0.2,542,500,500,0,0.922509225092251,0.922509225092251
327,0.3,342,318,318,0,0.9298245614035088,0.9298245614035088
328,0.1,1098,1059,1059,0,0.9644808743169399,0.9644808743169399
328,0.2,542,519,519,0,0.9575645756457565,0.9575645756457565
328,0.3,342,320,320,0,0.935672514619883,0.935672514619883
329,0.1,1098,1036,1036,0,0.9435336976320583,0.9435336976320583
329,0.2,542,505,505,0,0.9317343173431735,0.9317343173431735
329,0.3,342,302,302,0,0.8830409356725146,0.8830409356725146
330,0.1,1098,965,965,0,0.8788706739526412,0.8788706739526412
330,0.2,542,500,500,0,0.922509225092251,0.922509225092251
330,0.3,342,323,323,0,0.9444444444444444,0.9444444444444444
331,0.1,1098,1015,1015,0,0.924408014571949,0.924408014571949
331,0.2,542,516,516,0,0.9520295202952029,0.9520295202952029
331,0.3,342,320,320,0,0.935672514619883,0.935672514619883
332,0.1,1098,1037,1037,0,0.9444444444444444,0.9444444444444444
332,0.2,542,514,514,0,0.948339483394834,0.948339483394834
332,0.3,342,307,307,0,0.8976608187134503,0.8976608187134503
333,0.1,1098,1070,1070,0,0.9744990892531876,0.9744990892531876
333,0.2,542,530,530,0,0.977859778597786,0.977859778597786
333,0.3,342,332,332,0,0.9707602339181286,0.9707602339181286
334,0.1,1098,1063,1063,0,0.9681238615664846,0.9681238615664846
334,0.2,542,508,508,0,0.9372693726937269,0.9372693726937269
334,0.3,342,319,319,0,0.9327485380116959,0.9327485380116959
335,0.1,1098,975,975,0,0.8879781420765027,0.8879781420765027
335,0.2,542,513,513,0,0.9464944649446494,0.9464944649446494
335,0.3,342,306,306,0,0.8947368421052632,0.8947368421052632
336,0.1,1098,1023,1023,0,0.9316939890710383,0.9316939890710383
336,0.2,542,502,502,0,0.9261992619926199,0.9261992619926199
336,0.3,342,287,287,0,0.8391812865497076,0.8391812865497076
337,0.1,1098,1012,1012,0,0.9216757741347905,0.9216757741347905
337,0.2,542,501,501,0,0.9243542435424354,0.9243542435424354
337,0.3,342,325,325,0,0.9502923976608187,0.9502923976608187
338,0.1,1098,948,948,0,0.8633879781420765,0.8633879781420765
338,0.2,542,520,520,0,0.959409594095941,0.959409594095941
338,0.3,342,306,306,0,0.8947368421052632,0.8947368421052632
339,0.1,1098,1060,1060,0,0.9653916211293261,0.9653916211293261
339,0.2,542,488,488,0,0.9003690036900369,0.9003690036900369
339,0.3,342,316,316,0,0.9239766081871345,0.9239766081871345
340,0.1,1098,1059,1059,0,0.9644808743169399,0.9644808743169399
340,0.2,542,527,527,0,0.9723247232472325,0.9723247232472325
340,0.3,342,331,331,0,0.9678362573099415,0.9678362573099415
341,0.1,1098,954,954,0,0.8688524590163934,0.8688524590163934
341,0.2,542,516,516,0,0.9520295202952029,0.9520295202952029
341,0.3,342,305,305,0,0.8918128654970761,0.8918128654970761
342,0.1,1098,1020,1020,0,0.9289617486338798,0.9289617486338798
342,0.2,542,537,537,0,0.9907749077490775,0.9907749077490775
342,0.3,342,320,320,0,0.935672514619883,0.935672514619883
343,0.1,1098,1005,1005,0,0.9153005464480874,0.9153005464480874
343,0.2,542,491,491,0,0.9059040590405905,0.9059040590405905
343,0.3,342,299,299,0,0.8742690058479532,0.8742690058479532
344,0.1,1098,1080,1080,0,0.9836065573770492,0.9836065573770492
344,0.2,542,525,525,0,0.9686346863468634,0.9686346863468634
344,0.3,342,315,315,0,0.9210526315789473,0.9210526315789473
345,0.1,1098,1045,1045,0,0.9517304189435337,0.9517304189435337
345,0.2,542,511,511,0,0.9428044280442804,0.9428044280442804
