bootstrap_replicate,support_fraction,baseline_motif_count,replicate_discovered_motif_count,retained_baseline_motif_count,novel_motif_count,discovery_set_retention,discovery_set_jaccard
288,0.2,542,490,490,0,0.9040590405904059,0.9040590405904059
288,0.3,342,296,296,0,0.8654970760233918,0.8654970760233918
289,0.1,1098,1025,1025,0,0.9335154826958105,0.9335154826958105
289,0.2,542,501,501,0,0.9243542435424354,0.9243542435424354
289,0.3,342,280,280,0,0.8187134502923976,0.8187134502923976
290,0.1,1098,1015,1015,0,0.924408014571949,0.924408014571949
290,0.2,542,502,502,0,0.9261992619926199,0.9261992619926199
290,0.3,342,308,308,0,0.9005847953216374,0.9005847953216374
291,0.1,1098,1028,1028,0,0.936247723132969,0.936247723132969
291,0.2,542,521,521,0,0.9612546125461254,0.9612546125461254
291,0.3,342,318,318,0,0.9298245614035088,0.9298245614035088
292,0.1,1098,1057,1057,0,0.9626593806921676,0.9626593806921676
292,0.2,542,525,525,0,0.9686346863468634,0.9686346863468634
292,0.3,342,320,320,0,0.935672514619883,0.935672514619883
293,0.1,1098,1030,1030,0,0.9380692167577414,0.9380692167577414
293,0.2,542,518,518,0,0.955719557195572,0.955719557195572
293,0.3,342,328,328,0,0.9590643274853801,0.9590643274853801
294,0.1,1098,991,991,0,0.9025500910746812,0.9025500910746812
294,0.2,542,523,523,0,0.9649446494464945,0.9649446494464945
294,0.3,342,326,326,0,0.9532163742690059,0.9532163742690059
295,0.1,1098,993,993,0,0.9043715846994536,0.9043715846994536
295,0.2,542,501,501,0,0.9243542435424354,0.9243542435424354
295,0.3,342,293,293,0,0.8567251461988304,0.8567251461988304
296,0.1,1098,1021,1021,0,0.9298724954462659,0.9298724954462659
296,0.2,542,477,477,0,0.8800738007380073,0.8800738007380073
296,0.3,342,302,302,0,0.8830409356725146,0.8830409356725146
297,0.1,1098,1019,1019,0,0.9280510018214936,0.9280510018214936
297,0.2,542,527,527,0,0.9723247232472325,0.9723247232472325
297,0.3,342,321,321,0,0.9385964912280702,0.9385964912280702
298,0.1,1098,1004,1004,0,0.9143897996357013,0.9143897996357013
298,0.2,542,527,527,0,0.9723247232472325,0.9723247232472325
298,0.3,342,326,326,0,0.9532163742690059,0.9532163742690059
299,0.1,1098,1010,1010,0,0.9198542805100182,0.9198542805100182
299,0.2,542,500,500,0,0.922509225092251,0.922509225092251
299,0.3,342,323,323,0,0.9444444444444444,0.9444444444444444
300,0.1,1098,1041,1041,0,0.9480874316939891,0.9480874316939891
300,0.2,542,502,502,0,0.9261992619926199,0.9261992619926199
300,0.3,342,317,317,0,0.9269005847953217,0.9269005847953217
301,0.1,1098,959,959,0,0.8734061930783242,0.8734061930783242
301,0.2,542,510,510,0,0.940959409594096,0.940959409594096
301,0.3,342,318,318,0,0.9298245614035088,0.9298245614035088
302,0.1,1098,1035,1035,0,0.9426229508196722,0.9426229508196722
302,0.2,542,522,522,0,0.9630996309963099,0.9630996309963099
302,0.3,342,324,324,0,0.9473684210526315,0.9473684210526315
303,0.1,1098,1022,1022,0,0.930783242258652,0.930783242258652
303,0.2,542,513,513,0,0.9464944649446494,0.9464944649446494
303,0.3,342,307,307,0,0.8976608187134503,0.8976608187134503
304,0.1,1098,1034,1034,0,0.941712204007286,0.941712204007286
304,0.2,542,534,534,0,0.985239852398524,0.985239852398524
304,0.3,342,319,319,0,0.9327485380116959,0.9327485380116959
